origins,destinations,path,free_flow_time
1,161,192681919#0 192681919#4 192681919#11 495512233#0 495512233#5 1277850602#2 -27119604#1 -1251764509#1 34077096 1250499162#1 27366356#0 -495532715#2 4306201#0 4306199#0 647491744#0 4306197#1 184901480#1,3.3868839629899377
2,2,27366235#0 -895037056#3 1303870061 34077097#5 -495532715#14 -495532715#2 4306201#0 4306199#0 647491744#0 4306197#1 184901480#1 -258918251#1 -258918254#5 -258918254#2 -258918252 137166963#2 137166963#3 137166963#4 28830924 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 43346331#0 1316288013 304476606 4212603#3 4212603#4 1194954747#0 1194954753 26825652#0 1194954756 1194954759 35192917 1194954761 -711517860 24765230#1 -335329133 1243611183 93293343#2 93293343#3 93293343#4 93293343#5 93293343#6 1282534770 35192918 1280026025 70573572 1355624955#2 35164919#0 184904894#0 E6 30924344#1 136646886#1 andermatt_exit,25.86747641826585
3,3,-4306200#9 495532715#0 -675371951#0 -976400125 -34077096 -446473442#6 -24210993#4 -939461796#1 -939461796#0 -495512239 -1157660629#1 -184903361#2 -1204306717 -446397842 -27742818#1 495512237 233783355 233787412#1 142887422#2 142887422#3 142887422#4 265803667 -1207509568 846228215#1 1234909131 27743167#0 1248859920,3.913398821492792
8,191,1221385239#0 184902356#1 184902356#2 686911532#0 686911532#2 1221385265#0 1221385265#1 burglen_exit 686911533#10 686911533#11 686911533#12 686911533#13 686911533#14 686911533#16 39189078#0 975786587#0 1225169384#0 184919234 1221064457#0 975786591#0 975786592 1228711737,10.060159793672028
9,9,-495532715#14 -675371951#0 4306228#8 34077097#4 -26980566#0 -26980537#3 -26980537#1 -4334004#4 altdorf_exit,1.0655938401278437
10,10,-26980566#0 -26980537#3 -26980537#1 -4334004#4 altdorf_exit -493345875#3,0.7493425591979053
11,11,1303870061 -34077097#4 -34077097#3 27366235#0 -895037056#3 1303870061,0.595089742160363
12,12,4334004#1 26980537#1 26980537#3 1303870061 34077097#5 altdorf_entry,0.8733503768678098
14,0,976400124 -4306197#4 -647491744#1 -4306199#4 4306228#0 4306228#5 4306228#6 -976400125 -34077096 1251764509#1 27119604#0 -1277850602#3 -1277850602#1 -495512233#2 -1229554035#1 -192681919#9 -192681919#3,3.1148463144380965
14,13,976400124 -4306197#4 -647491744#1 -4306199#4 -4306200#9 495532715#0 495532715#3 altdorf_entry 4334004#1 1057663492#0 27665110#0 27665110#2 27665110#5 496300699#0 496300699#1 345246838 184901801#0 4334011#3 27122977#0 27122977#3 27122977#7 1175379984 1175379985#0 139960779#1 184905382 40153586 110493362#0 110493362#2 1243554241#0 -1246004176#2 -27744527#3 495510482#0 975788276#0 1179840015 1179840018 495509368#1 139960776#1 1227355874,6.021928832376073
14,14,976400124 -4306197#4 -647491744#1 -27120166#10 -27120166#7 -496298784#4 -27119888 -1177921349#4 -1177921349#2 -1177921349#0 -939461795 -27119835 -493400119 -495512239 -1157660629#1 -184903361#2 -1204306717 -446397842 -27742818#1 495512237 495512235 495512236 -1207509566 -1305315502 -1215806167 -110927098#2,4.788337030896468
15,7,-184901801#1 -184901800 496300699#2 496300699#3 -1213439396 -27665110#4 -27665110#1 -192681915#1 -4334004#4 altdorf_exit -495532715#14 -495532715#2 4306201#0 4306199#0 -27120166#10 -27120166#7 -496298784#4 -28830807#0 -1177921351 -26195249#1 -981333088#3 -981333088#2 -24356948 -24356947 -1177096612 28830804#0 48927463#0 48927435#0 72538321 -40335030#0 -495510481#2 -723393200 -778833367#0,5.563042150389217
15,61,-184901801#1 -184901800 496300699#2 496300699#3 -1213439396 -27665110#4 -27665110#1 -192681915#1 -4334004#4 altdorf_exit -495532715#14 -495532715#2 4306201#0 4306199#0 -27120166#10 -27120166#7 -496298784#4 -28830807#0 -1177921351 -26195249#1 -981333088#3 -981333088#2 -24356948 -24356947 -1177096612 -184917265#1 seefeld_exit -486406647#6,3.901724996973247
15,165,-184901801#1 -184901800 496300699#2 496300699#3 -1213439396 -27665110#4 -27665110#1 -192681915#1 -4334004#4 altdorf_exit -495532715#14 -495532715#2 4306201#0 4306199#0 647491744#0 4306197#1 184901480#1 -258918251#1 -258918254#5 -258918254#2 -258918252 137166963#2 137166963#3 -1177928068 -137261949#0 -1154864514 -1154864513 -1177928069,4.667411989164442
15,184,-184901801#1 -184901800 496300699#2 496300699#3 -1213439396 -27665110#4 -27665110#1 -192681915#1 -4334004#4 altdorf_exit -495532715#14 -495532715#2 4306201#0 4306199#0 647491744#0 4306197#1 184901480#1 -258918251#1 -258918254#5 -258918254#2 -258918252 137166963#2 4275898 982048017 982048015 40453606#0 1268628417 4316551 43197358 171962377#0 1177966477 982048012 -4316554 axenstrasse_exit,7.6147905482723015
16,16,-1234022742#1 -33527204 -33527203 -43202844 amsteg_entry -1155226217 -48875753 -184904443#2 -1233796574#1 -1155226185 -738718554#0 -8135465#4 -8135465#1 -1029849448 -738718556#0 -1081667875#1 -110431139#1 -110431158 -837546202#4 -837546202#0 -378131054#3 -738798589#0 -738798587#0 -1233790711 -4214427#1 -851173837#2 -1233790705#0 -48875774 -184907621#3 -1157181088 -305871543#11 -305871543#7 -305871543#5 -305871543#3 erstfeld_entry -836109912#26 -836109912#22 -836109912#19 -836109912#10 -836109912#6 -836109912#5 -836109912#1 -23725641#2 -23725641#1,8.50985858076674
17,17,738718556#1 8135465#0 8135465#2 8135465#5 184904444 1233796574#0 184904443#1 48875753 1155226217 136646900 802701450 136646905 43202568 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 1267880145 26245624 1239461761 477570852 1239461755#1 477570859#1 477570853#0 1194474094#0,8.137877874210957
18,18,andermatt_entry -136646886#4 -136646886#0 E5 E7 -184904895 -35164919#2 -1355624955#4 -1355624955#1 -1280026025 -35192918 93293334 93293343#8 335329132 335329133 -24765232 -24765230#0 -26825644 -35192917 -1194954759 -619870904 -1194954755 -1194954753 -1194954747#1 4212603#5 4212603#1 goeschenen_einfahrt 4212611 1316288014 1255318897 803039921 1246133442 372097229 304451629 304451625 1239461754 304451624 33527190#0 52907513#0 40653036#1 136646884 304443818 304443817 52907514 34077075#1 1255326319 34077077#1 304439899 304439901 304439900 1282201319 304439898 1282200037 304437963 304437983 304437974 304437951#0 304437951#0-AddedOffRampEdge 304437951#1 304437960 304437978 137166951 304404987 304404987-AddedOffRampEdge 298292686#0 298292686#1 1184058091 258918300 298293210 291765005 304405012 304405009 -304405005 -28830924 137166963#1 1320061334 258918254#0 258918254#3 258918254#6 976400124 -4306197#4 -647491744#1 -4306199#4 -4306200#9 495532715#0 495532715#3 -493345875#3 -26980566#0 895037056#1 -27366235#4,25.415773093656504
19,19,-136646886#4 -136646886#0 E5 E7 -184904895 -35164919#2 -1355624955#4 -1355624955#1 -1280026025 -35192918 93293334 93293343#8 335329132 335329133 -24765232 -24765230#0 -26825644 -35192917 -1194954759 -1194954760 -1311468392 -70573586 -24545864#1 goeschenen_entry -109528130#2 -109528130#1 -230703524 -629110690 -1255318895 -10046129#1,5.920465378440008
20,20,-96073655#3 -27743167#9 -48924448 244198642#1 359411402 314714553 142887422#0 233783354#0 233783354#1 495512236 265803670#0 1207509565 446397842 1204306714 184903367 939461794#0 495512239 939461796#0 939461796#1 24210993#0 446473442#1 34077096 1250499162#1 27366356#0 -495532715#2 4306201#0,4.165739236009148
