travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward,observation,cost_table
20.6,122,AV,0,0,0,36,1832.3133019091129,0.1,-28.79127777777778,"0.1563040293040293,0.1199475065616798,0.15020491803278688,0.1,0.36,0.0962325552547376","0,0,0"
9.9,247,AV,1,0,0,25,5304.212874057136,0.1,-28.791277777777783,"0.07837739463601534,0.08659620596205964,0.12039871794871795,0.1,0.25,0.2785756987922106","0,0,0"
27.3,58,AV,2,0,0,57,1020.7360413649084,0.1,-28.791277777777772,"0.4888013468013468,0.2400193798449612,0.2699747023809524,0.1,0.57,0.053608756427629224","0,0,0"
11.15,260,AV,1,0,0,32,5985.732437913218,0.2,-28.79127777777778,"0.11700526315789472,0.10761691542288557,0.14021171171171173,0.2,0.32,0.31436890567316916","0,0,0"
29.65,160,AV,1,0,0,67,2756.9260540590044,0.4,-28.79127777777778,"0.627177192982456,0.28640053763440854,0.3180096418732782,0.4,0.67,0.14479294482773922","0,0,0"
18.316666666666666,264,AV,2,0,0,38,6081.635477498837,0.2,-28.791277777777772,"0.19330824372759853,0.13279448621553885,0.16373684210526313,0.2,0.38,0.31940570508209365","0,0,0"
19.9,186,AV,1,0,0,49,3251.3322332141274,0.4,-28.791277777777772,"0.34554500000000005,0.18771031746031747,0.21970760233918127,0.4,0.49,0.17075901182308162","0,0,0"
5.083333333333333,142,AV,0,0,0,12,2361.523720441912,0.1,-28.791277777777772,"0.05353508771929825,0.07712962962962963,0.11481060606060607,0.1,0.12,0.12402653065718573","0,0,0"
22.583333333333332,141,AV,0,0,0,36,2360.1328348572283,0.2,-28.791277777777772,"0.1563040293040293,0.1199475065616798,0.15020491803278688,0.2,0.36,0.12395348175570059","0,0,0"
18.116666666666667,298,AV,1,0,0,48,17693.100214811147,0.8,-28.791277777777772,"0.3176006600660067,0.17636266666666667,0.20889181286549705,0.8,0.48,0.9292364151236616","0,0,0"
81.55,98,AV,0,0,0,83,1538.317647081207,0.2,-28.79127777777778,"0.7173139534883721,0.3182700258397933,0.35423599999999994,0.2,0.83,0.08079199000402343","0,0,0"
6.85,147,AV,0,0,0,22,2456.6540037696086,0.1,-28.791277777777783,"0.05884751773049645,0.07945539906103288,0.11610386473429951,0.1,0.22,0.12902274513491346","0,0,0"
12.566666666666666,125,AV,2,0,0,21,2011.9739719035176,0.4,-28.791277777777783,"0.05761788617886179,0.07856845238095238,0.11583333333333334,0.4,0.21,0.10566828075775386","0,0,0"
29.783333333333335,99,AV,1,0,0,69,1541.4014724042315,0.2,-28.791277777777783,"0.6374438405797102,0.2914217948717948,0.3239477401129943,0.2,0.69,0.08095395160223084","0,0,0"
13.616666666666667,132,AV,0,0,0,31,2108.868816674547,0.6,-28.791277777777783,"0.10709003831417625,0.10274691358024692,0.13352824858757065,0.6,0.31,0.1107571694830674","0,0,0"
19.05,271,AV,2,0,0,43,7177.938863287724,0.1,-28.791277777777783,"0.2356421052631579,0.14942447916666668,0.18474074074074076,0.1,0.43,0.3769832361947931","0,0,0"
22.716666666666665,103,AV,2,0,0,49,1564.487892525026,0.9,-28.791277777777783,"0.34554500000000005,0.18771031746031747,0.21970760233918127,0.9,0.49,0.08216644359123385","0,0,0"
10.766666666666667,20,AV,2,0,0,15,597.1498506777683,0.4,-28.79127777777778,"0.053898550724637694,0.07744270833333333,0.11513333333333334,0.4,0.15,0.03136213437998447","0,0,0"
11.3,32,AV,1,0,0,30,761.8437659652793,0.1,-28.79127777777778,"0.10420498084291188,0.10152962962962964,0.1324449152542373,0.1,0.3,0.04001181033142316","0,0,0"
40.6,4,AV,2,0,0,85,457.16351791608827,0.1,-28.79127777777778,"0.7240378787878786,0.32097311827956987,0.3557447916666667,0.1,0.85,0.02401009338985435","0,0,0"
18.366666666666667,151,AV,1,0,0,48,2574.4307659940623,0.1,-28.79127777777778,"0.3176006600660067,0.17636266666666667,0.20889181286549705,0.1,0.48,0.13520834601805928","0,0,0"
30.116666666666667,144,AV,1,0,0,70,2417.357356239525,0.9,-28.791277777777783,"0.6555860805860806,0.295648854961832,0.3272542372881356,0.9,0.7,0.12695889677403294","0,0,0"
34.6,234,AV,0,0,0,45,4662.282088415262,0.4,-28.791277777777783,"0.27519243986254294,0.16124999999999998,0.19524209245742097,0.4,0.45,0.24486168288967095","0,0,0"
27.15,14,AV,1,0,0,60,567.550811201735,0.2,-28.79127777777778,"0.5424912280701754,0.25943609022556385,0.2903705357142858,0.2,0.6,0.0298076015395053","0,0,0"
12.533333333333333,22,AV,1,0,0,35,627.4062491148882,0.1,-28.791277777777783,"0.14343229166666668,0.11683733333333332,0.14767366946778712,0.1,0.35,0.03295119151959908","0,0,0"
25.65,57,AV,1,0,0,57,1005.9867386644172,0.3,-28.79127777777778,"0.4888013468013468,0.2400193798449612,0.2699747023809524,0.3,0.57,0.052834127391418545","0,0,0"
24.533333333333335,124,AV,1,0,0,55,1927.298426803608,0.8,-28.79127777777778,"0.4578396624472575,0.2283811475409836,0.2601175059952039,0.8,0.55,0.10122114605428258","0,0,0"
24.233333333333334,162,AV,1,0,0,53,2780.081336731352,0.1,-28.79127777777778,"0.4240189873417722,0.21805468749999998,0.25055012531328325,0.1,0.53,0.14600905345767937","0,0,0"
79.85,42,AV,0,0,0,76,863.3540159882258,0.3,-28.79127777777778,"0.6928666666666666,0.3081564885496183,0.34199999999999997,0.3,0.76,0.0453430987819722","0,0,0"
20.416666666666668,50,AV,2,0,0,45,914.1934345695068,0.9,-28.79127777777778,"0.27519243986254294,0.16124999999999998,0.19524209245742097,0.9,0.45,0.048013170080720285","0,0,0"
21.15,91,AV,1,0,0,50,1474.807688008607,0.1,-28.79127777777778,"0.3753703703703703,0.1954105392156863,0.2279634920634921,0.1,0.5,0.07745646564838392","0,0,0"
43.666666666666664,137,AV,0,0,0,50,2239.194506681481,0.1,-28.79127777777778,"0.3753703703703703,0.1954105392156863,0.2279634920634921,0.1,0.5,0.11760183635943447","0,0,0"
22.5,217,AV,1,0,0,53,4164.701887555128,0.4,-28.79127777777778,"0.4240189873417722,0.21805468749999998,0.25055012531328325,0.4,0.53,0.21872891720868953","0,0,0"
10.35,279,AV,0,0,0,27,8333.728817076937,0.1,-28.79127777777778,"0.08836742424242423,0.09111458333333335,0.1242728494623656,0.1,0.27,0.4376849843483456","0,0,0"
25.7,277,AV,1,0,0,58,7958.958807233507,0.3,-28.79127777777778,"0.5080119047619047,0.2480428571428571,0.28030028735632184,0.3,0.58,0.4180021737490339","0,0,0"
30.85,207,AV,2,0,0,61,3849.958431883558,0.3,-28.79127777777778,"0.5624705882352942,0.267343669250646,0.29985626911314983,0.3,0.61,0.20219868356500897","0,0,0"
55.55,120,AV,0,0,0,57,1823.811293294481,0.9,-28.79127777777778,"0.4888013468013468,0.2400193798449612,0.2699747023809524,0.9,0.57,0.09578603226495669","0,0,0"
48.483333333333334,200,AV,0,0,0,52,3520.054626539052,0.1,-28.79127777777778,"0.40829523809523816,0.20928711484593837,0.24347701149425288,0.1,0.52,0.18487223281912113","0,0,0"
10.083333333333334,203,AV,1,0,0,24,3667.3634505223554,0.1,-28.79127777777778,"0.0689808429118774,0.08302710027100271,0.11819469026548673,0.1,0.24,0.19260884889275526","0,0,0"
79.9,291,AV,0,0,0,81,11861.36896338871,0.2,-28.791277777777783,"0.7044450757575759,0.31298950131233594,0.34584799999999993,0.2,0.81,0.622955606433049","0,0,0"
28.15,77,AV,2,0,0,57,1265.4739572733297,0.4,-28.791277777777783,"0.4888013468013468,0.2400193798449612,0.2699747023809524,0.4,0.57,0.0664623197298481","0,0,0"
11.633333333333333,44,AV,2,0,0,10,870.7377108213431,0.9,-28.791277777777783,"0.051807692307692305,0.07684057971014492,0.11421111111111111,0.9,0.1,0.045730888261135916","0,0,0"
73.01666666666667,71,AV,0,0,0,69,1167.011530479414,0.4,-28.791277777777783,"0.6374438405797102,0.2914217948717948,0.3239477401129943,0.4,0.69,0.061291102058127545","0,0,0"
38.86666666666667,267,AV,2,0,0,88,6254.49597505133,0.4,-28.791277777777783,"0.7270166666666666,0.322896,0.3582093333333334,0.4,0.88,0.3284842875301661","0,0,0"
78.16666666666667,129,AV,0,0,0,74,2044.1603053436156,0.1,-28.791277777777783,"0.6746831275720164,0.3028816425120773,0.3373911845730027,0.1,0.74,0.10735869751562734","0,0,0"
