travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
36.666666666666664,147,AV,1,2,4,5,6,0,0,71,1141.0395517097602,0.1,-0.4666666666666667
51.88333333333333,101,AV,0,7,7,4,0,0,0,65,2139.4702648744856,0.4,-0.9188333333333334
14.433333333333334,2,AV,1,2,9,5,0,0,0,36,2767.495209174315,0.2,-0.3443333333333334
29.983333333333334,222,AV,1,2,4,5,2,0,0,57,3849.958431883558,0.1,-0.3998333333333334
17.116666666666667,22,AV,0,4,7,5,3,0,0,37,2486.38103050259,0.5,-0.6711666666666667
31.6,89,AV,1,2,5,5,2,0,0,59,3803.247088152212,0.9,-1.216
13.466666666666667,84,AV,1,2,4,1,2,0,0,33,2421.0391237858234,0.3,-0.43466666666666665
6.65,254,AV,0,5,4,1,0,0,0,16,4843.3187157075145,0.1,-0.1665
28.7,190,AV,1,2,4,4,2,0,0,55,541.9839687696077,0.4,-0.687
22.55,208,AV,1,2,4,5,5,0,0,46,4754.245589533712,0.6,-0.8255
48.61666666666667,63,AV,0,8,5,5,2,0,0,61,2756.9260540590044,0.6,-1.0861666666666667
33.11666666666667,207,AV,1,2,4,5,6,0,0,58,1011.0784796502788,0.2,-0.5311666666666667
13.683333333333334,133,AV,1,2,4,1,4,0,0,33,2969.8754393798326,0.3,-0.4368333333333333
26.133333333333333,109,AV,1,2,4,7,3,0,0,50,595.9176043698985,0.2,-0.4613333333333333
17.133333333333333,41,AV,0,5,7,3,2,0,0,37,1848.7234685638712,0.6,-0.7713333333333333
18.966666666666665,266,AV,2,2,3,4,3,0,0,37,1527.6889462703334,0.3,-0.48966666666666664
32.38333333333333,29,AV,1,2,5,5,0,0,0,60,4416.224882412617,0.1,-0.4238333333333333
22.9,298,AV,1,2,4,5,29,0,0,47,1234.5997004771,0.2,-0.429
29.266666666666666,141,AV,2,2,2,1,5,0,0,53,2496.2043409386315,0.2,-0.49266666666666664
20.883333333333333,268,AV,2,2,3,4,2,0,0,39,6007.794801579103,0.3,-0.5088333333333332
39.65,46,AV,0,5,7,5,4,0,0,53,566.7055292848979,0.4,-0.7965
31.2,49,AV,0,7,4,5,2,0,0,47,1074.3823512953045,0.2,-0.512
48.5,137,AV,0,9,8,5,1,0,0,62,2818.3733061874163,0.3,-0.7849999999999999
38.35,98,AV,1,1,4,7,3,0,0,78,9095.945853089892,0.1,-0.48350000000000004
18.7,95,AV,1,2,4,4,2,0,0,42,4924.983441788647,0.1,-0.28700000000000003
37.083333333333336,251,AV,1,2,4,4,1,0,0,72,825.4433072334436,0.2,-0.5708333333333333
38.06666666666667,228,AV,1,2,4,5,27,0,0,76,1279.3396024785957,0.1,-0.4806666666666667
11.85,110,AV,0,6,5,5,0,0,0,30,11185.875164713363,0.2,-0.3185
8.533333333333333,239,AV,0,7,2,5,0,0,0,22,3458.1247672483346,0.1,-0.18533333333333335
8.883333333333333,131,AV,1,2,4,5,2,0,0,19,4376.119511966378,0.7,-0.7888333333333333
36.516666666666666,247,AV,0,5,5,3,0,0,0,49,4687.914961676448,0.4,-0.7651666666666667
53.6,235,AV,0,5,7,5,2,0,0,69,6709.13861087917,0.1,-0.636
56.75,111,AV,0,5,5,5,0,0,0,84,449.0833195935783,0.8,-1.3675000000000002
12.066666666666666,135,AV,1,2,4,2,1,0,0,29,2105.159940183184,0.2,-0.32066666666666666
27.666666666666668,206,AV,0,6,7,5,1,0,0,46,4950.268578812107,0.1,-0.3766666666666667
17.15,280,AV,1,2,4,3,3,0,0,39,1684.196745492046,0.1,-0.27149999999999996
31.683333333333334,73,AV,1,0,7,5,0,0,0,59,1022.032321197676,0.4,-0.7168333333333334
18.433333333333334,117,AV,2,0,3,4,0,0,0,38,4266.216809230351,0.5,-0.6843333333333333
35.35,28,AV,1,2,4,5,1,0,0,66,20239.22920549412,0.5,-0.8535
29.666666666666668,112,AV,1,2,4,5,32,0,0,57,2780.081336731352,0.2,-0.4966666666666667
19.216666666666665,114,AV,1,0,4,5,3,0,0,42,913.5589076746268,0.1,-0.2921666666666667
37.1,45,AV,1,0,5,4,0,0,0,69,7511.51421120444,0.2,-0.571
32.11666666666667,234,AV,1,2,5,4,1,0,0,59,6947.27484286379,0.4,-0.7211666666666667
16.15,1,AV,1,0,4,5,3,0,0,37,7612.519032757181,0.2,-0.3615
16.633333333333333,143,AV,1,2,4,5,22,0,0,38,1083.524948441525,1.0,-1.1663333333333332
29.366666666666667,240,AV,1,2,7,5,8,0,0,56,3759.463069718096,0.1,-0.3936666666666667
12.9,274,AV,1,2,4,1,2,0,0,29,4645.51881630073,0.5,-0.629
19.616666666666667,209,AV,2,0,3,5,1,0,0,42,10426.353459350525,0.1,-0.2961666666666667
24.466666666666665,216,AV,1,2,4,5,1,0,0,48,1530.6528609905624,0.9,-1.1446666666666667
9.816666666666666,277,AV,1,3,4,1,2,0,0,23,2850.5966631146844,0.1,-0.19816666666666666
10.3,174,AV,2,2,2,5,0,0,0,1,2996.640782499388,0.4,-0.503
20.733333333333334,270,AV,1,0,7,0,0,0,0,44,1782.711710770346,0.1,-0.30733333333333335
32.75,288,AV,0,5,5,5,2,0,0,48,2744.255474143275,0.1,-0.4275
45.016666666666666,97,AV,0,4,4,5,5,0,0,56,3724.6301341612702,0.3,-0.7501666666666666
27.116666666666667,93,AV,1,2,4,5,4,0,0,52,5304.212874057136,0.1,-0.37116666666666664
21.416666666666668,269,AV,1,2,4,5,4,0,0,45,4061.843573313689,0.1,-0.3141666666666667
55.2,156,AV,0,8,6,5,0,0,0,73,437.8567856598078,0.4,-0.9520000000000001
45.1,281,AV,0,4,4,5,2,0,0,56,943.1907669438916,0.3,-0.751
21.7,292,AV,1,2,7,1,0,0,0,45,2222.040577514192,0.4,-0.617
27.75,182,AV,1,2,4,5,36,0,0,53,1805.1606101798543,1.0,-1.2775
56.88333333333333,295,AV,0,5,4,5,0,0,0,91,5502.789496653042,0.7,-1.2688333333333333
33.43333333333333,195,AV,1,2,4,5,2,0,0,61,2891.134206742707,0.3,-0.6343333333333333
