travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
37.65,147,AV,1,1,4,7,13,0,0,71,1141.0395517097602,0.1,-0.03765
35.083333333333336,101,AV,1,2,4,5,7,0,0,65,2139.4702648744856,0.1,-0.035083333333333334
14.233333333333333,2,AV,1,1,4,7,7,0,0,36,2767.495209174315,0.3,-0.042699999999999995
30.8,222,AV,1,2,4,7,7,0,0,57,3849.958431883558,0.1,-0.0308
18.133333333333333,22,AV,2,1,0,0,4,0,0,37,2486.38103050259,0.1,-0.01813333333333333
32.63333333333333,89,AV,1,1,4,7,15,0,0,59,3803.247088152212,0.4,-0.13053333333333333
13.1,84,AV,1,1,4,7,10,0,0,33,2421.0391237858234,0.1,-0.0131
6.666666666666667,254,AV,0,5,5,6,4,0,0,16,4843.3187157075145,0.3,-0.02
29.5,190,AV,1,1,4,1,18,0,0,55,541.9839687696077,0.1,-0.0295
22.316666666666666,208,AV,1,1,4,8,8,0,0,46,4754.245589533712,0.1,-0.022316666666666665
34.15,63,AV,1,1,4,7,7,0,0,61,2756.9260540590044,1.0,-0.34149999999999997
31.616666666666667,207,AV,2,1,1,1,4,0,0,58,1011.0784796502788,1.0,-0.31616666666666665
13.683333333333334,133,AV,1,1,4,5,11,0,0,33,2969.8754393798326,0.1,-0.013683333333333334
25.816666666666666,109,AV,1,0,4,5,2,0,0,50,595.9176043698985,0.1,-0.02581666666666667
15.566666666666666,41,AV,1,0,4,8,5,0,0,37,1848.7234685638712,0.2,-0.031133333333333336
16.1,266,AV,1,2,5,2,0,0,0,37,1527.6889462703334,0.1,-0.0161
31.3,29,AV,2,1,1,7,0,0,0,60,4416.224882412617,1.0,-0.313
24.333333333333332,298,AV,2,1,1,1,10,0,0,47,1234.5997004771,0.1,-0.024333333333333332
28.183333333333334,141,AV,1,1,4,7,9,0,0,53,2496.2043409386315,0.2,-0.05636666666666667
19.133333333333333,268,AV,0,5,1,7,4,0,0,39,6007.794801579103,0.1,-0.019133333333333336
27.216666666666665,46,AV,1,0,4,4,2,0,0,53,566.7055292848979,0.1,-0.027216666666666667
23.1,49,AV,1,1,8,3,4,0,0,47,1074.3823512953045,0.1,-0.023100000000000002
33.68333333333333,137,AV,1,1,4,7,13,0,0,62,2818.3733061874163,0.4,-0.13473333333333334
39.333333333333336,98,AV,1,1,4,7,6,0,0,78,9095.945853089892,0.2,-0.07866666666666668
18.633333333333333,95,AV,1,1,6,4,0,0,0,42,4924.983441788647,0.6,-0.1118
38.05,251,AV,1,1,4,1,4,0,0,72,825.4433072334436,0.2,-0.0761
38.53333333333333,228,AV,1,1,5,8,3,0,0,76,1279.3396024785957,0.9,-0.3468
11.8,110,AV,1,1,4,8,6,0,0,30,11185.875164713363,0.2,-0.023600000000000003
10.233333333333333,239,AV,0,5,2,7,5,0,0,22,3458.1247672483346,0.2,-0.020466666666666668
11.9,131,AV,2,2,0,7,2,0,0,19,4376.119511966378,0.6,-0.0714
25.566666666666666,247,AV,1,3,4,4,9,0,0,49,4687.914961676448,0.1,-0.025566666666666668
43.06666666666667,235,AV,0,4,2,4,2,0,0,69,6709.13861087917,0.8,-0.34453333333333336
35.11666666666667,111,AV,2,0,1,1,4,0,0,84,449.0833195935783,0.3,-0.10535
11.583333333333334,135,AV,1,0,4,6,4,0,0,29,2105.159940183184,0.1,-0.011583333333333334
22.65,206,AV,1,0,5,5,1,0,0,46,4950.268578812107,0.5,-0.11324999999999999
16.916666666666668,280,AV,1,1,4,5,5,0,0,39,1684.196745492046,0.7,-0.11841666666666667
37.88333333333333,73,AV,0,5,4,4,0,0,0,59,1022.032321197676,0.2,-0.07576666666666668
16.233333333333334,117,AV,1,2,4,7,12,0,0,38,4266.216809230351,0.6,-0.0974
35.8,28,AV,1,0,4,7,11,0,0,66,20239.22920549412,0.2,-0.0716
31.35,112,AV,1,1,4,7,9,0,0,57,2780.081336731352,0.2,-0.0627
19.283333333333335,114,AV,1,1,4,7,9,0,0,42,913.5589076746268,1.0,-0.19283333333333336
37.63333333333333,45,AV,1,1,4,7,10,0,0,69,7511.51421120444,0.1,-0.03763333333333334
39.61666666666667,234,AV,0,6,5,5,1,0,0,59,6947.27484286379,1.0,-0.39616666666666667
15.833333333333334,1,AV,1,2,4,5,5,0,0,37,7612.519032757181,0.2,-0.03166666666666667
16.583333333333332,143,AV,1,1,4,5,3,0,0,38,1083.524948441525,0.9,-0.14925
29.866666666666667,240,AV,1,1,4,4,6,0,0,56,3759.463069718096,0.1,-0.02986666666666667
12.416666666666666,274,AV,1,1,4,7,11,0,0,29,4645.51881630073,0.3,-0.03725
18.833333333333332,209,AV,1,1,4,7,3,0,0,42,10426.353459350525,0.1,-0.018833333333333334
24.75,216,AV,1,1,4,1,2,0,0,48,1530.6528609905624,0.2,-0.0495
9.116666666666667,277,AV,1,1,4,5,10,0,0,23,2850.5966631146844,1.0,-0.09116666666666667
5.133333333333334,174,AV,0,7,4,5,3,0,0,1,2996.640782499388,0.1,-0.0051333333333333335
20.716666666666665,270,AV,1,0,4,7,11,0,0,44,1782.711710770346,0.4,-0.08286666666666666
24.15,288,AV,1,2,4,7,3,0,0,48,2744.255474143275,0.1,-0.02415
30.383333333333333,97,AV,1,3,4,7,10,0,0,56,3724.6301341612702,0.1,-0.030383333333333335
27.033333333333335,93,AV,1,1,4,7,11,0,0,52,5304.212874057136,0.2,-0.05406666666666668
21.066666666666666,269,AV,1,1,5,7,4,0,0,45,4061.843573313689,0.1,-0.021066666666666668
37.916666666666664,156,AV,1,1,4,7,6,0,0,73,437.8567856598078,0.1,-0.03791666666666667
30.883333333333333,281,AV,1,0,4,7,4,0,0,56,943.1907669438916,0.6,-0.1853
21.966666666666665,292,AV,2,1,2,5,2,0,0,45,2222.040577514192,0.1,-0.021966666666666666
27.65,182,AV,1,3,4,7,3,0,0,53,1805.1606101798543,0.1,-0.027649999999999997
39.2,295,AV,1,0,4,7,3,0,0,91,5502.789496653042,0.1,-0.039200000000000006
31.716666666666665,195,AV,2,3,0,2,6,0,0,61,2891.134206742707,0.3,-0.09515
22.266666666666666,53,AV,2,1,0,3,9,0,0,43,4660.29795945294,0.1,-0.022266666666666667
28.25,255,AV,1,1,4,4,7,0,0,54,7177.938863287724,0.2,-0.056499999999999995
17.583333333333332,257,AV,1,1,4,2,2,0,0,40,601.3137559373858,0.1,-0.017583333333333333
17.316666666666666,152,AV,2,1,0,6,0,0,0,39,743.7553910389753,0.1,-0.017316666666666668
18.716666666666665,74,AV,1,0,4,7,6,0,0,42,3919.41152379869,0.1,-0.018716666666666666
8.383333333333333,122,AV,0,5,0,7,2,0,0,20,2239.194506681481,0.1,-0.008383333333333333
12.333333333333334,129,AV,1,0,4,1,4,0,0,30,13351.937436366714,0.3,-0.037
18.75,154,AV,0,6,8,4,2,0,0,38,898.3728471886773,0.1,-0.018750000000000003
12.633333333333333,168,AV,1,1,5,4,0,0,0,30,682.056612603955,0.2,-0.025266666666666666
27.433333333333334,32,AV,1,1,6,1,0,0,0,52,1474.807688008607,0.3,-0.0823
15.65,140,AV,0,5,5,7,2,0,0,34,11049.706566164488,0.4,-0.0626
25.916666666666668,199,AV,1,3,7,7,5,0,0,50,600.3305173079323,0.1,-0.025916666666666668
10.316666666666666,173,AV,1,1,5,7,4,0,0,25,2991.769966736588,0.7,-0.07221666666666667
13.616666666666667,244,AV,1,1,4,7,15,0,0,33,3097.4575811220984,0.6,-0.0817
