id,avg_reward_route_0,avg_reward_route_1,avg_reward_route_2
0,-23.7,-24.33611111111111,-25.508333333333333
1,-11.756666666666666,-12.172222222222222,-13.791666666666668
2,-27.75,-28.329166666666666,-30.05
3,-29.354761904761904,-29.650000000000002,
4,-7.975,-8.255555555555555,-9.733333333333334
5,-9.608333333333334,-9.793333333333333,-11.261111111111111
6,-22.23888888888889,-22.155555555555555,-23.766666666666666
7,,-17.03333333333333,-18.292857142857144
8,-20.933333333333334,-21.05,-22.566666666666666
9,-12.541666666666666,-12.85,-14.314285714285715
10,-28.93333333333333,-29.416666666666668,-30.605555555555554
11,-28.75,-29.163333333333334,-30.65
12,-22.273809523809522,,-24.205555555555552
13,-30.72,-30.966666666666665,-32.34166666666667
14,-26.161111111111108,-26.48333333333333,-28.1
15,-11.423333333333334,-11.683333333333334,-12.861111111111109
16,-25.155555555555555,-25.358333333333334,-26.655555555555555
17,-11.376666666666667,-11.783333333333333,-13.166666666666666
18,-28.683333333333334,-28.805555555555554,-30.32777777777778
19,-20.40833333333333,-20.933333333333334,-22.186666666666667
20,-18.825,-18.82333333333333,-20.21111111111111
21,-13.616666666666667,-13.716666666666665,-15.3
22,-29.53,-29.95,-31.399999999999995
23,-18.841666666666665,-19.099999999999998,
24,-14.713888888888889,-15.066666666666666,-16.34166666666667
25,-16.725,-17.156666666666666,-18.533333333333335
26,-26.233333333333334,-26.495833333333334,-27.8125
27,-25.26111111111111,-25.366666666666667,-26.933333333333334
28,-25.029166666666665,-25.170833333333334,-26.525
29,-25.141666666666666,-25.443333333333335,-26.638888888888886
30,-31.65833333333333,-31.849999999999998,-33.056666666666665
31,-15.341666666666667,-16.07777777777778,-17.263333333333332
32,-14.245833333333334,-14.883333333333333,-15.986666666666668
33,-12.546666666666667,-12.758333333333335,-14.222222222222221
34,-27.291666666666664,-27.63095238095238,-29.066666666666663
35,-29.566666666666666,-29.826666666666664,-30.858333333333334
36,-18.991666666666667,-19.299999999999997,-20.776666666666664
37,-13.006666666666666,-13.204166666666666,-14.833333333333334
38,-12.672222222222222,-12.924999999999999,-14.222222222222221
39,-26.73333333333333,-26.933333333333334,-28.488888888888884
40,-27.87083333333333,-27.974999999999998,-29.183333333333334
41,-26.929166666666667,-27.1,-28.770833333333332
42,-13.553333333333333,-13.783333333333333,-15.141666666666666
43,-23.133333333333336,-23.174999999999997,-24.583333333333332
44,-21.883333333333333,-22.04583333333333,-23.61
45,-23.366666666666664,-23.59583333333333,-25.083333333333332
46,-29.083333333333332,-29.504166666666666,-31.233333333333334
47,-22.966666666666665,-23.4375,-24.806666666666665
48,-27.78333333333333,-27.844444444444445,-29.383333333333336
49,-20.808333333333334,-20.75,-21.876666666666665
50,-23.777777777777775,-24.173333333333336,-25.641666666666666
51,-26.41111111111111,-26.756666666666668,-27.833333333333332
52,-7.566666666666666,-7.8500000000000005,-9.183333333333334
53,-16.75,-17.116666666666667,-18.883333333333333
54,,-15.29047619047619,-16.527777777777775
55,-15.483333333333333,-15.770833333333334,-17.45
56,-17.023333333333333,-17.425,-18.516666666666666
57,-31.474999999999998,-31.619444444444444,-33.2
58,-13.075,-13.425,-15.029166666666667
59,-29.683333333333334,-29.858333333333334,-31.194444444444443
60,-8.858333333333334,-9.1,-10.623333333333333
61,-17.67222222222222,-17.84,-19.558333333333334
62,-22.653333333333332,-22.55,-24.4125
63,-26.816666666666663,-27.333333333333332,-28.370833333333334
64,-28.13888888888889,-28.322222222222223,-30.15
65,-28.6,-28.755555555555556,-30.227777777777778
