travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward,observation,cost_table
31.116666666666667,44,AV,0,0,0,42,881.2906222289953,0.3,-0.10186024600832662,"0.2683078231292517,0.1505734265734266,0.18227609427609426,0.3,0.42,0.04354368505248021","0,0,0"
9.9,137,AV,1,0,0,28,2294.767722006211,0.8,-0.0792,"0.08962312312312312,0.08998191214470283,0.12665500000000002,0.8,0.28,0.11338216978061968","0,0,0"
71.3,50,AV,0,0,0,69,946.2003450753726,0.2,-0.15052643972181448,"0.7032836538461538,0.29597395833333334,0.3280725308641976,0.2,0.69,0.04675080930545112","0,0,0"
17.1,63,AV,0,0,0,33,1104.4445206976068,0.8,-0.1435907439979536,"0.13497340425531915,0.10550381679389313,0.1410101449275362,0.8,0.33,0.05456949518600221","0,0,0"
23.1,84,AV,2,0,0,45,1405.7852601227096,0.2,-0.046200000000000005,"0.31970872274143297,0.16463008130081302,0.19755909090909096,0.2,0.45,0.0694584386514629","0,0,0"
3.033333333333333,132,AV,0,0,0,2,2198.5025098873134,0.6,-0.02161141298054939,"0.0,0.0,0.0,0.6,0.02,0.10862580227563756","0,0,0"
21.316666666666666,196,AV,2,0,0,47,3534.445695738256,0.1,-0.021316666666666668,"0.35691245791245796,0.18016534391534392,0.21494782608695653,0.1,0.47,0.1746334141410286","0,0,0"
22.95,139,AV,1,0,0,54,2318.1098695731453,0.9,-0.20654999999999998,"0.48061111111111104,0.22291343669250643,0.2604710144927537,0.9,0.54,0.11453548186231685","0,0,0"
10.55,118,AV,1,0,0,29,1929.5758599688188,0.2,-0.021100000000000004,"0.10544342507645262,0.0947651515151515,0.13076262626262625,0.2,0.29,0.09533840643718873","0,0,0"
15.083333333333334,106,AV,2,0,0,37,1723.69240549938,0.1,-0.015083333333333336,"0.18056212121212123,0.12083333333333336,0.15796120689655171,0.1,0.37,0.08516591160652838","0,0,0"
62.96666666666667,104,AV,0,0,0,63,1659.6531244520008,0.8,-0.5082523499214993,"0.6367912621359223,0.2709371980676328,0.3033670033670034,0.8,0.63,0.08200179500914358","0,0,0"
23.283333333333335,263,AV,1,0,0,55,6031.594525491932,0.2,-0.04656666666666667,"0.49932128514056223,0.2281550387596899,0.2643932291666667,0.2,0.55,0.2980150313162421","0,0,0"
76.51666666666667,287,AV,0,0,0,73,10450.70686878338,0.7,-0.5363343214716638,"0.7256075268817206,0.3078717948717948,0.3403253205128205,0.7,0.73,0.5163589365323479","0,0,0"
26.95,103,AV,2,0,0,55,1639.6236094811811,0.9,-0.24255000000000002,"0.49932128514056223,0.2281550387596899,0.2643932291666667,0.9,0.55,0.08101215677897904","0,0,0"
25.2,220,AV,1,0,0,58,4266.216809230351,0.1,-0.0252,"0.546959595959596,0.24553435114503813,0.2806878787878788,0.1,0.58,0.2107894903464134","0,0,0"
13.0,148,AV,1,0,0,37,2472.005569054355,0.2,-0.026000000000000002,"0.18056212121212123,0.12083333333333336,0.15796120689655171,0.2,0.37,0.12213931390150505","0,0,0"
60.81666666666667,252,AV,0,0,0,63,5480.041794665195,0.1,-0.062185269367343386,"0.6367912621359223,0.2709371980676328,0.3033670033670034,0.1,0.63,0.27076336450488875","0,0,0"
11.833333333333334,134,AV,1,0,0,35,2239.257430619588,0.2,-0.02366666666666667,"0.15595673076923078,0.11072549019607844,0.14493162393162393,0.2,0.35,0.11063946200143439","0,0,0"
