run,episode,total_travel_time,pos_from_end
Run 1,344,9862.066666666666,10
Run 1,346,9922.6,9
Run 1,348,9858.616666666667,8
Run 1,350,9857.599999999999,7
Run 1,352,9960.433333333332,6
Run 1,354,9919.066666666666,5
Run 1,356,9876.583333333334,4
Run 1,358,9947.016666666666,3
Run 1,360,9860.616666666667,2
Run 1,362,9827.25,1
Run 2,362,9831.383333333333,10
Run 2,364,9952.033333333333,9
Run 2,366,9859.8,8
Run 2,368,9880.883333333331,7
Run 2,370,9902.45,6
Run 2,372,9873.283333333333,5
Run 2,374,9828.483333333334,4
Run 2,376,9955.466666666667,3
Run 2,378,9912.85,2
Run 2,380,9971.716666666667,1
Run 3,268,9881.1,10
Run 3,270,9762.150000000001,9
Run 3,272,9842.633333333333,8
Run 3,274,9862.466666666665,7
Run 3,276,9863.266666666666,6
Run 3,278,9807.25,5
Run 3,280,9897.95,4
Run 3,282,9915.233333333334,3
Run 3,284,9862.333333333332,2
Run 3,286,9878.616666666667,1
