dincm,expdincm,North America,Europe,East Asia,Russia & Central Asia,MENA,Latin America,South & South-East Asia,Sub-Saharan Africa
0,1,0%,0%,0%,0%,0%,0%,0%,0%
0,1,0%,0%,0%,0%,0%,0%,0%,0%
0,1,0%,0%,0%,0%,0%,0%,0%,0%
0,1,0%,0%,0%,0%,0%,0%,0%,0%
0,1,0%,0%,0%,0%,0%,0%,0%,0%
0,1,0%,0%,0%,0%,0%,0%,0%,0%
0,1,0%,0%,0%,0%,0%,0%,0%,0%
0,2,0%,0%,0%,0%,0%,0%,0%,0%
0,2,0%,0%,0%,0%,0%,0%,0%,0%
0,2,0%,0%,0%,0%,0%,0%,0%,0%
1,2,0%,0%,0%,0%,0%,0%,0%,0%
1,2,0%,0%,0%,0%,0%,0%,0%,0%
1,2,0%,0%,0%,0%,0%,0%,0%,0%
1,2,0%,0%,0%,0%,0%,0%,0%,0%
1,2,0%,0%,0%,0%,0%,0%,0%,0%
1,2,0%,0%,0%,0%,0%,0%,0%,0%
1,2,0%,0%,0%,0%,0%,0%,0%,0%
1,3,0%,0%,0%,0%,0%,0%,0%,0%
1,3,0%,0%,0%,0%,0%,0%,0%,0%
1,3,0%,0%,0%,0%,0%,0%,0%,0%
1,3,0%,0%,0%,0%,0%,0%,0%,0%
1,3,0%,0%,0%,0%,0%,0%,0%,0%
1,3,0%,0%,0%,0%,0%,0%,0%,0%
1,4,0%,0%,0%,0%,0%,0%,0%,0%
1,4,0%,0%,0%,0%,0%,0%,0%,0%
1,4,0%,0%,0%,0%,0%,0%,0%,0%
1,4,0%,0%,0%,0%,0%,0%,0%,0%
1,4,0%,0%,0%,0%,0%,0%,0%,0%
2,5,0%,0%,0%,0%,0%,0%,0%,0%
2,5,0%,0%,0%,0%,0%,0%,0%,0%
2,5,0%,0%,0%,0%,0%,0%,0%,0%
2,6,0%,0%,0%,0%,0%,0%,0%,0%
2,6,0%,0%,0%,0%,0%,0%,0%,0%
2,6,0%,0%,0%,0%,0%,0%,0%,0%
2,7,0%,0%,0%,0%,0%,0%,0%,0%
2,7,0%,0%,0%,0%,0%,0%,0%,0%
2,7,0%,0%,0%,0%,0%,0%,0%,0%
2,8,0%,0%,0%,0%,0%,0%,0%,0%
2,8,0%,0%,0%,0%,0%,0%,0%,0%
2,9,0%,0%,0%,0%,0%,0%,0%,0%
2,9,0%,0%,0%,0%,0%,0%,0%,0%
2,10,0%,0%,0%,0%,0%,0%,0%,0%
2,10,0%,0%,0%,0%,0%,0%,0%,0%
2,11,0%,0%,0%,0%,0%,0%,0%,0%
2,11,0%,0%,0%,0%,0%,0%,0%,0%
2,12,0%,0%,0%,0%,0%,0%,0%,0%
3,13,0%,0%,0%,0%,0%,0%,0%,0%
