vehicles,route,n_replications,mean_s,std_s
10,route0,1,189.357143,0.000000
10,route1,1,190.285714,0.000000
10,route2,1,286.357143,0.000000
100,route0,1,184.100877,0.000000
100,route1,1,185.508772,0.000000
100,route2,1,276.697368,0.000000
1000,route0,1,397.759054,0.000000
1000,route1,1,200.813883,0.000000
1000,route2,1,287.561871,0.000000
2000,route0,1,417.504000,0.000000
2000,route1,1,369.525500,0.000000
2000,route2,1,338.401000,0.000000
5000,route0,1,176.502901,0.000000
5000,route1,1,171.655131,0.000000
5000,route2,1,219.582717,0.000000
10000,route0,1,98.790987,0.000000
10000,route1,1,91.212714,0.000000
10000,route2,1,105.688357,0.000000
