vehicles,route_key,mean_travel_time_last_step_s
10,route0,199.580000
10,route1,200.670000
10,route2,312.750000
100,route0,196.300000
100,route1,197.930000
100,route2,306.660000
200,route0,198.790000
200,route1,202.480000
200,route2,310.230000
300,route0,202.660000
300,route1,206.690000
300,route2,312.920000
400,route0,204.680000
400,route1,208.240000
400,route2,313.760000
500,route0,206.880000
500,route1,210.350000
500,route2,314.850000
600,route0,208.580000
600,route1,211.290000
600,route2,316.350000
700,route0,248.290000
700,route1,212.500000
700,route2,317.250000
800,route0,360.000000
800,route1,214.080000
800,route2,319.350000
900,route0,378.800000
900,route1,216.290000
900,route2,321.330000
1000,route0,400.980000
1000,route1,216.930000
1000,route2,322.400000
2000,route0,572.280000
2000,route1,393.750000
2000,route2,387.850000
5000,route0,634.640000
5000,route1,452.390000
5000,route2,503.910000
10000,route0,654.840000
10000,route1,454.060000
10000,route2,486.900000
