vehicles,route_key,mean_travel_time_last_step_s
1,route0,130.500000
1,route1,214.500000
1,route2,328.500000
10,route0,211.770000
10,route1,222.270000
10,route2,329.880000
20,route0,263.160000
20,route1,241.420000
20,route2,330.710000
50,route0,550.290000
50,route1,347.500000
50,route2,333.700000
70,route0,753.470000
70,route1,428.180000
70,route2,336.850000
80,route0,773.300000
80,route1,458.920000
80,route2,337.050000
100,route0,780.590000
100,route1,538.050000
100,route2,339.880000
150,route0,790.560000
150,route1,684.550000
150,route2,355.160000
180,route0,794.740000
180,route1,789.530000
180,route2,365.550000
200,route0,797.910000
200,route1,804.050000
200,route2,373.430000
220,route0,797.730000
220,route1,804.770000
220,route2,379.070000
230,route0,798.270000
230,route1,807.390000
230,route2,390.410000
240,route0,800.460000
240,route1,808.660000
240,route2,392.350000
250,route0,799.690000
250,route1,809.110000
250,route2,403.460000
300,route0,802.000000
300,route1,810.870000
300,route2,421.910000
400,route0,806.220000
400,route1,801.080000
400,route2,467.510000
500,route0,806.780000
500,route1,794.510000
500,route2,469.310000
600,route0,802.730000
600,route1,786.670000
600,route2,501.430000
700,route0,804.910000
700,route1,781.070000
700,route2,553.200000
800,route0,805.330000
800,route1,798.660000
800,route2,552.000000
900,route0,803.650000
900,route1,788.140000
900,route2,575.340000
1000,route0,799.810000
1000,route1,796.830000
1000,route2,569.390000
2000,route0,799.810000
2000,route1,796.830000
2000,route2,604.680000
5000,route0,-1.000000
5000,route1,-1.000000
