id,origin,destination,start_time,kind
0.0,0.0,0.0,70.0,Human
1.0,1.0,1.0,569.0,Human
3.0,3.0,3.0,850.0,Human
5.0,5.0,5.0,154.0,Human
6.0,6.0,6.0,637.0,Human
8.0,8.0,8.0,271.0,Human
9.0,9.0,9.0,131.0,Human
10.0,10.0,10.0,360.0,Human
15.0,15.0,5.0,852.0,Human
16.0,16.0,14.0,595.0,Human
18.0,18.0,16.0,257.0,Human
19.0,19.0,17.0,476.0,Human
20.0,20.0,18.0,810.0,Human
27.0,26.0,2.0,853.0,Human
30.0,29.0,24.0,15.0,Human
32.0,31.0,22.0,587.0,Human
35.0,34.0,26.0,357.0,Human
41.0,18.0,2.0,466.0,Human
43.0,24.0,12.0,807.0,Human
44.0,35.0,15.0,800.0,Human
46.0,40.0,18.0,234.0,Human
50.0,13.0,32.0,731.0,Human
53.0,18.0,9.0,13.0,Human
54.0,45.0,5.0,385.0,Human
55.0,46.0,29.0,188.0,Human
56.0,47.0,12.0,208.0,Human
58.0,0.0,35.0,445.0,Human
59.0,49.0,5.0,574.0,Human
68.0,55.0,40.0,589.0,Human
69.0,56.0,34.0,124.0,Human
70.0,57.0,41.0,598.0,Human
72.0,59.0,5.0,231.0,Human
76.0,61.0,44.0,400.0,Human
77.0,62.0,5.0,175.0,Human
80.0,65.0,44.0,626.0,Human
81.0,66.0,45.0,486.0,Human
83.0,54.0,23.0,191.0,Human
84.0,66.0,3.0,836.0,Human
86.0,69.0,47.0,414.0,Human
88.0,71.0,12.0,593.0,Human
89.0,72.0,9.0,117.0,Human
95.0,75.0,52.0,494.0,Human
96.0,76.0,12.0,922.0,Human
98.0,78.0,44.0,465.0,Human
99.0,7.0,34.0,395.0,Human
100.0,79.0,1.0,583.0,Human
101.0,80.0,53.0,76.0,Human
102.0,75.0,54.0,316.0,Human
103.0,81.0,55.0,278.0,Human
104.0,82.0,56.0,356.0,Human
105.0,83.0,39.0,187.0,Human
107.0,85.0,29.0,137.0,Human
109.0,86.0,9.0,282.0,Human
110.0,87.0,34.0,487.0,Human
114.0,89.0,58.0,791.0,Human
116.0,29.0,60.0,122.0,Human
117.0,90.0,61.0,143.0,Human
118.0,91.0,15.0,16.0,Human
119.0,1.0,62.0,798.0,Human
120.0,48.0,12.0,688.0,Human
123.0,17.0,4.0,830.0,Human
125.0,13.0,65.0,787.0,Human
129.0,94.0,9.0,145.0,Human
130.0,95.0,12.0,753.0,Human
131.0,96.0,67.0,667.0,Human
133.0,13.0,25.0,640.0,Human
134.0,96.0,68.0,586.0,Human
135.0,98.0,5.0,347.0,Human
137.0,99.0,18.0,394.0,Human
141.0,45.0,73.0,776.0,Human
143.0,101.0,75.0,63.0,Human
146.0,102.0,3.0,331.0,Human
147.0,103.0,5.0,772.0,Human
148.0,25.0,77.0,758.0,Human
149.0,104.0,78.0,954.0,Human
150.0,105.0,7.0,154.0,Human
153.0,42.0,5.0,631.0,Human
156.0,108.0,63.0,162.0,Human
157.0,31.0,3.0,246.0,Human
159.0,110.0,80.0,769.0,Human
161.0,13.0,82.0,943.0,Human
163.0,112.0,78.0,510.0,Human
164.0,113.0,77.0,326.0,Human
168.0,69.0,31.0,426.0,Human
169.0,116.0,15.0,399.0,Human
170.0,100.0,85.0,162.0,Human
171.0,117.0,44.0,763.0,Human
173.0,118.0,4.0,763.0,Human
175.0,120.0,28.0,17.0,Human
177.0,37.0,64.0,218.0,Human
181.0,116.0,44.0,503.0,Human
186.0,80.0,12.0,262.0,Human
188.0,127.0,34.0,814.0,Human
194.0,129.0,7.0,219.0,Human
197.0,131.0,90.0,877.0,Human
204.0,69.0,70.0,400.0,Human
205.0,40.0,75.0,908.0,Human
206.0,82.0,18.0,412.0,Human
208.0,135.0,18.0,178.0,Human
209.0,136.0,44.0,428.0,Human
210.0,137.0,18.0,44.0,Human
212.0,139.0,91.0,935.0,Human
213.0,140.0,44.0,557.0,Human
215.0,141.0,18.0,462.0,Human
218.0,117.0,93.0,426.0,Human
220.0,117.0,15.0,292.0,Human
221.0,144.0,18.0,443.0,Human
