id,origin,destination,start_time,kind
0,0,0,55,Human
1,0,0,32,Human
2,0,0,62,Human
3,0,0,65,Human
4,0,0,17,Human
5,0,0,28,Human
6,0,0,52,Human
7,0,0,44,Human
8,0,0,49,Human
9,0,0,35,Human
10,0,0,64,Human
11,0,0,62,Human
12,0,0,51,Human
13,0,0,68,Human
14,0,0,57,Human
15,0,0,35,Human
16,0,0,56,Human
17,0,0,34,Human
18,0,0,64,Human
19,0,0,49,Human
20,0,0,46,Human
21,0,0,38,Human
22,0,0,70,Human
23,0,0,47,Human
24,0,0,42,Human
25,0,0,44,Human
26,0,0,58,Human
27,0,0,56,Human
28,0,0,56,Human
29,0,0,57,Human
30,0,0,85,Human
31,0,0,43,Human
32,0,0,41,Human
33,0,0,36,Human
34,0,0,60,Human
35,0,0,68,Human
36,0,0,48,Human
37,0,0,35,Human
38,0,0,36,Human
39,0,0,60,Human
40,0,0,62,Human
41,0,0,59,Human
42,0,0,38,Human
43,0,0,53,Human
44,0,0,51,Human
45,0,0,53,Human
46,0,0,64,Human
47,0,0,53,Human
48,0,0,61,Human
49,0,0,51,Human
50,0,0,54,Human
51,0,0,60,Human
52,0,0,25,Human
53,0,0,44,Human
54,0,0,42,Human
55,0,0,39,Human
56,0,0,45,Human
57,0,0,74,Human
58,0,0,35,Human
59,0,0,66,Human
60,0,0,21,Human
61,0,0,44,Human
62,0,0,52,Human
63,0,0,59,Human
64,0,0,61,Human
65,0,0,63,Human
66,0,0,44,Human
67,0,0,42,Human
68,0,0,64,Human
69,0,0,46,Human
70,0,0,28,Human
71,0,0,31,Human
72,0,0,34,Human
73,0,0,58,Human
74,0,0,52,Human
75,0,0,61,Human
76,0,0,42,Human
77,0,0,52,Human
78,0,0,60,Human
79,0,0,44,Human
80,0,0,57,Human
81,0,0,38,Human
82,0,0,43,Human
83,0,0,43,Human
84,0,0,30,Human
85,0,0,58,Human
86,0,0,42,Human
87,0,0,50,Human
88,0,0,58,Human
89,0,0,57,Human
90,0,0,61,Human
91,0,0,48,Human
92,0,0,42,Human
93,0,0,48,Human
94,0,0,21,Human
95,0,0,25,Human
96,0,0,27,Human
97,0,0,33,Human
98,0,0,56,Human
99,0,0,34,Human
100,0,0,43,Human
101,0,0,71,Human
102,0,0,44,Human
103,0,0,62,Human
104,0,0,34,Human
105,0,0,46,Human
106,0,0,34,Human
107,0,0,44,Human
108,0,0,64,Human
109,0,0,21,Human
110,0,0,57,Human
111,0,0,53,Human
112,0,0,40,Human
113,0,0,25,Human
114,0,0,51,Human
115,0,0,41,Human
116,0,0,53,Human
117,0,0,50,Human
118,0,0,76,Human
119,0,0,46,Human
120,0,0,32,Human
121,0,0,52,Human
122,0,0,53,Human
123,0,0,72,Human
124,0,0,63,Human
125,0,0,55,Human
126,0,0,74,Human
127,0,0,30,Human
128,0,0,39,Human
129,0,0,34,Human
130,0,0,43,Human
131,0,0,27,Human
132,0,0,60,Human
133,0,0,46,Human
134,0,0,25,Human
135,0,0,33,Human
136,0,0,55,Human
137,0,0,63,Human
138,0,0,83,Human
139,0,0,98,Human
140,0,0,56,Human
141,0,0,33,Human
142,0,0,14,Human
143,0,0,54,Human
144,0,0,36,Human
145,0,0,43,Human
146,0,0,39,Human
147,0,0,47,Human
148,0,0,67,Human
149,0,0,52,Human
150,0,0,47,Human
151,0,0,32,Human
152,0,0,22,Human
153,0,0,41,Human
154,0,0,49,Human
155,0,0,79,Human
156,0,0,52,Human
157,0,0,66,Human
158,0,0,41,Human
159,0,0,30,Human
160,0,0,33,Human
161,0,0,37,Human
162,0,0,85,Human
163,0,0,36,Human
164,0,0,63,Human
165,0,0,34,Human
166,0,0,65,Human
167,0,0,56,Human
168,0,0,47,Human
169,0,0,49,Human
170,0,0,39,Human
171,0,0,57,Human
172,0,0,42,Human
173,0,0,29,Human
174,0,0,28,Human
175,0,0,52,Human
176,0,0,76,Human
177,0,0,52,Human
178,0,0,48,Human
179,0,0,54,Human
180,0,0,71,Human
181,0,0,53,Human
182,0,0,43,Human
183,0,0,68,Human
184,0,0,57,Human
185,0,0,75,Human
186,0,0,53,Human
187,0,0,29,Human
188,0,0,27,Human
189,0,0,77,Human
190,0,0,78,Human
191,0,0,47,Human
192,0,0,43,Human
193,0,0,74,Human
194,0,0,31,Human
195,0,0,35,Human
196,0,0,60,Human
197,0,0,43,Human
198,0,0,49,Human
199,0,0,47,Human
200,0,0,55,Human
201,0,0,73,Human
202,0,0,51,Human
203,0,0,60,Human
204,0,0,15,Human
205,0,0,49,Human
206,0,0,35,Human
207,0,0,29,Human
208,0,0,35,Human
209,0,0,44,Human
210,0,0,65,Human
211,0,0,27,Human
212,0,0,50,Human
213,0,0,41,Human
214,0,0,44,Human
215,0,0,66,Human
216,0,0,58,Human
217,0,0,72,Human
218,0,0,47,Human
219,0,0,38,Human
220,0,0,46,Human
221,0,0,54,Human
222,0,0,52,Human
223,0,0,31,Human
224,0,0,51,Human
225,0,0,53,Human
226,0,0,91,Human
227,0,0,81,Human
228,0,0,35,Human
229,0,0,45,Human
230,0,0,25,Human
231,0,0,40,Human
232,0,0,55,Human
233,0,0,70,Human
234,0,0,37,Human
235,0,0,39,Human
236,0,0,14,Human
237,0,0,47,Human
238,0,0,32,Human
239,0,0,41,Human
240,0,0,35,Human
241,0,0,48,Human
242,0,0,20,Human
243,0,0,25,Human
244,0,0,85,Human
245,0,0,28,Human
246,0,0,31,Human
247,0,0,80,Human
