travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
42.7,147,AV,2,2,1,4,5,0,0,71,1141.0395517097602,0.1,-4.2700000000000005
44.1,101,AV,2,3,3,0,7,0,0,65,2139.4702648744856,0.2,-8.82
24.966666666666665,2,AV,2,4,2,2,5,0,0,36,2767.495209174315,0.4,-9.986666666666666
30.95,222,AV,1,2,7,4,0,0,0,57,3849.958431883558,0.3,-9.285
29.883333333333333,22,AV,2,2,1,4,5,0,0,37,2486.38103050259,0.2,-5.976666666666667
32.4,89,AV,1,0,7,2,0,0,0,59,3803.247088152212,0.3,-9.719999999999999
17.216666666666665,84,AV,1,2,7,4,9,0,0,33,2421.0391237858234,0.1,-1.7216666666666667
11.3,254,AV,1,0,7,5,2,0,0,16,4843.3187157075145,0.2,-2.2600000000000002
30.716666666666665,190,AV,1,0,5,5,0,0,0,55,541.9839687696077,1.0,-30.716666666666665
24.45,208,AV,1,3,7,7,1,0,0,46,4754.245589533712,0.6,-14.669999999999998
34.6,63,AV,1,0,7,2,3,0,0,61,2756.9260540590044,0.2,-6.920000000000001
32.6,207,AV,1,0,5,5,0,0,0,58,1011.0784796502788,0.2,-6.5200000000000005
17.766666666666666,133,AV,1,2,5,3,0,0,0,33,2969.8754393798326,0.1,-1.7766666666666666
28.566666666666666,109,AV,1,4,8,5,10,0,0,50,595.9176043698985,0.5,-14.283333333333333
15.416666666666666,41,AV,0,6,6,0,3,0,0,37,1848.7234685638712,0.2,-3.0833333333333335
20.216666666666665,266,AV,1,4,6,0,7,0,0,37,1527.6889462703334,0.5,-10.108333333333333
32.86666666666667,29,AV,1,3,5,1,1,0,0,60,4416.224882412617,0.2,-6.573333333333334
35.93333333333333,298,AV,2,4,4,3,8,0,0,47,1234.5997004771,0.3,-10.78
42.03333333333333,141,AV,2,1,0,6,0,0,0,53,2496.2043409386315,0.3,-12.61
34.766666666666666,268,AV,2,2,2,0,7,0,0,39,6007.794801579103,0.2,-6.953333333333333
28.366666666666667,46,AV,1,1,6,4,1,0,0,53,566.7055292848979,0.8,-22.693333333333335
25.483333333333334,49,AV,1,2,5,3,5,0,0,47,1074.3823512953045,0.3,-7.645
33.483333333333334,137,AV,1,2,8,0,11,0,0,62,2818.3733061874163,0.2,-6.696666666666667
38.96666666666667,98,AV,1,2,5,3,27,0,0,78,9095.945853089892,0.1,-3.896666666666667
31.583333333333332,95,AV,2,2,3,8,4,0,0,42,4924.983441788647,0.6,-18.95
37.03333333333333,251,AV,1,0,5,5,4,0,0,72,825.4433072334436,0.5,-18.516666666666666
37.68333333333333,228,AV,1,0,5,5,3,0,0,76,1279.3396024785957,0.1,-3.768333333333333
24.9,110,AV,2,0,1,2,5,0,0,30,11185.875164713363,0.5,-12.45
24.216666666666665,239,AV,2,0,3,5,6,0,0,22,3458.1247672483346,0.3,-7.264999999999999
22.75,131,AV,2,0,1,4,8,0,0,19,4376.119511966378,0.2,-4.55
37.43333333333333,247,AV,2,1,0,6,6,0,0,49,4687.914961676448,0.2,-7.486666666666666
