travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
117.43333333333334,101,AV,0,9,5,7,4,0,0,61,2574.4307659940623,0.4,-46.973333333333336
12.35,255,AV,0,8,7,0,5,0,0,16,2553.8725848963804,0.4,-4.94
91.11666666666666,99,AV,0,5,7,4,3,0,0,54,1275.6237969650936,0.6,-54.669999999999995
66.43333333333334,52,AV,0,3,5,4,2,0,0,47,1474.807688008607,1.0,-66.43333333333334
10.383333333333333,299,AV,0,7,1,4,0,0,0,16,1457.5875839824732,0.3,-3.1149999999999998
73.48333333333333,278,AV,0,4,6,3,6,0,0,50,417.8295094645922,0.1,-7.348333333333334
43.63333333333333,199,AV,2,2,0,2,7,0,0,63,1444.5182772575097,0.1,-4.363333333333333
120.76666666666667,157,AV,0,6,1,5,2,0,0,63,969.457736312404,1.0,-120.76666666666667
145.21666666666667,23,AV,0,7,7,0,3,0,0,75,1527.6889462703334,0.3,-43.565
13.483333333333333,40,AV,0,5,6,4,8,0,0,25,4113.319853961603,0.2,-2.6966666666666668
15.9,162,AV,0,7,4,1,0,0,0,18,3628.2404526711953,0.2,-3.18
43.06666666666667,239,AV,0,3,6,5,8,0,0,52,5480.041794665195,0.4,-17.22666666666667
155.71666666666667,106,AV,0,4,2,7,6,0,0,83,763.1985099142711,1.0,-155.71666666666667
34.1,251,AV,2,1,2,0,6,0,0,49,1348.5865378412918,0.5,-17.05
140.21666666666667,4,AV,0,9,5,2,1,0,0,71,491.0984231068265,0.1,-14.021666666666668
29.383333333333333,26,AV,0,7,0,9,10,0,0,34,1260.6549751070208,0.5,-14.691666666666666
61.333333333333336,229,AV,0,3,0,6,3,0,0,46,4547.885280126284,0.9,-55.2
59.416666666666664,282,AV,0,7,5,7,0,0,0,46,1869.7531794209297,0.5,-29.708333333333332
30.716666666666665,39,AV,1,2,4,5,8,0,0,61,595.9176043698985,0.3,-9.215
71.56666666666666,258,AV,0,5,3,5,4,0,0,49,2968.817229463249,0.5,-35.78333333333333
32.95,167,AV,1,0,6,2,1,0,0,68,873.8892656114449,0.6,-19.77
34.916666666666664,116,AV,0,8,5,3,0,0,0,37,2857.712092786687,0.6,-20.95
31.366666666666667,68,AV,0,5,7,4,2,0,0,34,1503.4428459110418,1.0,-31.366666666666667
133.18333333333334,179,AV,0,4,2,8,5,0,0,68,2965.4163440895786,0.2,-26.63666666666667
35.68333333333333,6,AV,1,3,3,9,8,0,0,80,3206.59631480788,0.1,-3.5683333333333334
89.18333333333334,169,AV,0,7,4,0,10,0,0,54,1804.2001824470888,0.6,-53.51
