travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
32.05,208,AV,2,4,5,0,7,0,0,46,959.5289757906356,0.3,-0.3
23.933333333333334,172,AV,2,2,7,4,11,0,0,40,2344.9936519099742,0.3,-0.3
21.416666666666668,4,AV,2,4,0,6,6,0,0,18,9095.945853089892,0.3,-0.3
26.933333333333334,109,AV,2,5,5,0,22,0,0,38,4707.821121085941,0.5,-0.5
11.75,30,AV,0,9,1,7,9,0,0,28,850.3216016091212,0.2,0.0
15.133333333333333,252,AV,1,3,9,6,6,0,0,36,3752.1132597063192,0.1,-0.1
34.71666666666667,148,AV,1,2,9,6,6,0,0,65,2758.442965787371,0.3,-0.3
38.5,64,AV,2,3,2,4,5,0,0,53,1389.0632502942228,0.1,-0.1
49.35,191,AV,2,3,1,3,6,0,0,86,2421.832203454489,0.2,-0.2
46.516666666666666,136,AV,2,7,0,7,8,0,0,76,4925.450001742355,0.4,-0.4
23.983333333333334,271,AV,2,2,5,6,7,0,0,30,6248.181898567973,0.1,-0.1
14.516666666666667,194,AV,1,1,9,0,2,0,0,30,1635.9686818612918,0.7,-0.7
41.45,160,AV,0,8,3,9,7,0,0,52,2293.603195459698,0.2,0.0
25.583333333333332,120,AV,2,7,5,1,8,0,0,23,3480.90175047103,0.2,-0.2
33.71666666666667,17,AV,2,7,6,7,7,0,0,50,1597.8734280578535,0.1,-0.1
32.96666666666667,132,AV,2,1,0,6,6,0,0,46,491.8679742725259,0.2,-0.2
47.016666666666666,13,AV,2,2,2,1,7,0,0,80,1996.532829496936,0.8,-0.8
34.81666666666667,270,AV,2,3,2,2,7,0,0,49,5480.041794665195,0.5,-0.5
31.133333333333333,40,AV,1,4,8,5,8,0,0,56,610.4868582393152,0.2,-0.2
39.63333333333333,235,AV,2,7,3,2,9,0,0,54,3251.3322332141274,0.1,-0.1
35.65,19,AV,2,3,2,3,7,0,0,51,3169.820795106812,0.1,-0.1
32.0,218,AV,2,5,4,6,8,0,0,47,8028.27043643778,0.5,-0.5
22.85,192,AV,2,1,3,9,0,0,0,18,3667.3634505223554,0.3,-0.3
45.88333333333333,121,AV,2,1,2,1,6,0,0,58,2722.266725979925,0.5,-0.5
51.833333333333336,147,AV,0,8,2,8,0,0,0,64,3427.0421228311798,0.2,0.0
36.88333333333333,153,AV,2,2,5,4,15,0,0,47,2446.4664131825853,0.2,-0.2
43.266666666666666,285,AV,2,0,2,2,5,0,0,62,2164.09247058771,0.5,-0.5
46.61666666666667,162,AV,0,9,7,5,1,0,0,56,985.0802174553831,0.3,0.0
41.516666666666666,35,AV,0,8,8,7,1,0,0,52,968.7072844723906,0.1,0.0
22.35,2,AV,0,8,7,3,24,0,0,41,3849.958431883558,0.7,0.0
28.1,145,AV,2,7,0,8,7,0,0,38,5158.4050556257225,0.8,-0.8
