travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
32.56666666666667,102,AV,1,3,8,9,2,0,0,59,2835.850686157305,0.3,-9.770000000000001
25.166666666666668,156,AV,1,0,4,3,4,0,0,48,793.0252767736928,0.1,-2.516666666666667
15.833333333333334,212,AV,1,1,5,6,4,0,0,33,1538.317647081207,0.2,-3.166666666666667
41.78333333333333,251,AV,1,0,4,1,1,0,0,78,2528.765907819195,0.3,-12.534999999999998
38.25,49,AV,1,3,4,1,1,0,0,67,6130.868263041086,0.2,-7.65
17.433333333333334,27,AV,1,3,4,6,2,0,0,36,767.6170681366935,0.7,-12.203333333333333
33.1,99,AV,2,1,1,3,7,0,0,43,959.5289757906356,0.1,-3.3100000000000005
31.966666666666665,7,AV,2,3,0,0,7,0,0,40,2949.689674384749,0.2,-6.3933333333333335
42.9,110,AV,2,0,3,4,9,0,0,67,1626.914224999384,0.8,-34.32
33.68333333333333,286,AV,1,1,7,1,12,0,0,59,4679.48341028673,0.4,-13.473333333333333
36.18333333333333,76,AV,2,1,0,8,1,0,0,47,586.8516376274475,0.1,-3.618333333333333
24.116666666666667,165,AV,1,0,6,2,0,0,0,47,1244.4027248274256,0.8,-19.293333333333337
6.983333333333333,152,AV,0,7,5,0,0,0,0,14,2574.4307659940623,0.3,-2.0949999999999998
29.283333333333335,238,AV,0,4,5,0,4,0,0,54,1880.1756700095973,0.1,-2.9283333333333337
25.533333333333335,200,AV,1,0,4,1,17,0,0,51,4660.29795945294,0.2,-5.106666666666667
14.133333333333333,296,AV,1,2,6,5,4,0,0,28,946.2003450753726,0.7,-9.893333333333333
31.25,159,AV,2,1,3,6,4,0,0,43,1862.7228332236152,0.1,-3.125
30.633333333333333,191,AV,1,0,7,7,3,0,0,57,2753.3979495063454,0.8,-24.506666666666668
18.733333333333334,144,AV,1,0,6,2,12,0,0,37,1017.530975349866,0.1,-1.8733333333333335
43.68333333333333,113,AV,2,1,3,6,0,0,0,78,649.7132696839626,0.1,-4.368333333333333
20.35,35,AV,1,1,6,2,10,0,0,41,2022.4315636845977,0.2,-4.07
29.0,209,AV,0,5,2,3,3,0,0,54,1997.7276787447236,0.1,-2.9000000000000004
43.21666666666667,257,AV,2,3,0,0,5,0,0,61,2758.442965787371,0.1,-4.321666666666667
24.316666666666666,239,AV,2,3,2,3,5,0,0,34,1011.0784796502788,0.4,-9.726666666666667
14.1,77,AV,1,3,6,5,1,0,0,26,779.0639592631991,0.7,-9.87
31.016666666666666,45,AV,1,0,4,7,12,0,0,56,2857.712092786687,0.8,-24.813333333333333
24.166666666666668,118,AV,1,3,4,1,1,0,0,48,1294.2551843223837,0.4,-9.666666666666668
18.333333333333332,232,AV,1,3,5,7,7,0,0,37,2113.1349678504243,0.6,-10.999999999999998
13.4,108,AV,1,1,5,6,4,0,0,23,4159.866430607663,0.4,-5.36
19.95,249,AV,1,3,4,0,1,0,0,40,16390.717038727882,1.0,-19.95
19.016666666666666,268,AV,1,3,5,2,5,0,0,37,6007.794801579103,0.3,-5.704999999999999
31.55,63,AV,1,1,8,4,3,0,0,57,761.8437659652793,0.1,-3.1550000000000002
35.0,208,AV,1,3,5,2,2,0,0,62,1234.5997004771,0.2,-7.0
21.566666666666666,0,AV,1,3,4,1,1,0,0,43,2872.269398564857,0.3,-6.47
25.95,237,AV,1,3,8,5,11,0,0,49,4227.85786318916,0.5,-12.975
30.233333333333334,221,AV,2,3,0,0,7,0,0,37,2968.817229463249,0.3,-9.07
38.233333333333334,82,AV,1,0,6,2,4,0,0,68,7332.887514065835,0.1,-3.8233333333333337
23.833333333333332,175,AV,0,6,4,8,8,0,0,47,5394.467136051333,0.6,-14.299999999999999
