travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
30.15,102,AV,1,0,4,4,3,0,0,59,2835.850686157305,0.2,-6.03
24.116666666666667,156,AV,1,0,6,2,0,0,0,48,793.0252767736928,0.5,-12.058333333333334
15.316666666666666,212,AV,1,1,5,5,4,0,0,33,1538.317647081207,0.6,-9.19
37.53333333333333,251,AV,1,0,6,1,5,0,0,78,2528.765907819195,1.0,-37.53333333333333
69.6,49,AV,0,8,9,8,1,0,0,67,6130.868263041086,0.1,-6.96
22.366666666666667,27,AV,0,6,7,5,1,0,0,36,767.6170681366935,0.2,-4.473333333333334
33.083333333333336,99,AV,2,0,1,8,6,0,0,43,959.5289757906356,0.6,-19.85
27.783333333333335,7,AV,0,9,9,1,2,0,0,40,2949.689674384749,0.1,-2.7783333333333338
43.21666666666667,110,AV,2,1,1,5,0,0,0,67,1626.914224999384,0.2,-8.643333333333334
31.483333333333334,286,AV,1,1,7,7,11,0,0,59,4679.48341028673,0.3,-9.445
24.333333333333332,76,AV,1,0,5,6,8,0,0,47,586.8516376274475,0.2,-4.866666666666667
23.233333333333334,165,AV,1,2,6,0,0,0,0,47,1244.4027248274256,0.6,-13.94
25.4,152,AV,2,0,0,4,4,0,0,14,2574.4307659940623,0.3,-7.619999999999999
26.933333333333334,238,AV,1,1,5,5,2,0,0,54,1880.1756700095973,0.6,-16.16
44.96666666666667,200,AV,0,9,7,6,0,0,0,51,4660.29795945294,0.9,-40.470000000000006
8.383333333333333,296,AV,0,4,4,5,8,0,0,28,946.2003450753726,0.3,-2.5149999999999997
31.6,159,AV,2,0,3,8,7,0,0,43,1862.7228332236152,0.2,-6.32
37.0,191,AV,2,1,0,1,6,0,0,57,2753.3979495063454,0.2,-7.4
28.216666666666665,144,AV,2,2,3,7,4,0,0,37,1017.530975349866,0.8,-22.573333333333334
36.11666666666667,113,AV,1,3,4,5,8,0,0,78,649.7132696839626,0.1,-3.611666666666667
29.383333333333333,35,AV,0,9,0,9,6,0,0,41,2022.4315636845977,0.1,-2.9383333333333335
25.6,209,AV,1,0,4,3,1,0,0,54,1997.7276787447236,0.6,-15.36
32.28333333333333,257,AV,1,2,5,2,8,0,0,61,2758.442965787371,0.2,-6.456666666666667
17.05,239,AV,0,6,4,7,2,0,0,34,1011.0784796502788,0.2,-3.41
8.383333333333333,77,AV,0,5,1,3,14,0,0,26,779.0639592631991,0.1,-0.8383333333333334
55.666666666666664,45,AV,0,6,2,5,2,0,0,56,2857.712092786687,0.5,-27.833333333333332
32.05,118,AV,2,1,3,7,1,0,0,48,1294.2551843223837,0.5,-16.025
