id,origin,destination,start_time,kind
0,0,0,43,Human
1,0,0,66,Human
2,0,0,56,Human
3,0,0,39,Human
4,0,0,61,Human
5,0,0,25,Human
6,0,0,59,Human
7,0,0,40,Human
8,0,0,60,Human
9,0,0,57,Human
10,0,0,37,Human
11,0,0,58,Human
12,0,0,55,Human
13,0,0,39,Human
14,0,0,83,Human
15,0,0,63,Human
16,0,0,30,Human
17,0,0,33,Human
18,0,0,55,Human
19,0,0,55,Human
20,0,0,37,Human
21,0,0,70,Human
22,0,0,51,Human
23,0,0,35,Human
24,0,0,43,Human
25,0,0,47,Human
26,0,0,24,Human
27,0,0,36,Human
28,0,0,19,Human
29,0,0,45,Human
30,0,0,60,Human
31,0,0,28,Human
32,0,0,55,Human
33,0,0,30,Human
34,0,0,47,Human
35,0,0,41,Human
36,0,0,29,Human
37,0,0,40,Human
38,0,0,29,Human
39,0,0,54,Human
40,0,0,50,Human
41,0,0,69,Human
42,0,0,25,Human
43,0,0,68,Human
44,0,0,48,Human
45,0,0,56,Human
46,0,0,46,Human
47,0,0,75,Human
48,0,0,73,Human
49,0,0,67,Human
50,0,0,54,Human
51,0,0,11,Human
52,0,0,59,Human
53,0,0,49,Human
54,0,0,47,Human
55,0,0,57,Human
56,0,0,69,Human
57,0,0,54,Human
58,0,0,42,Human
59,0,0,37,Human
60,0,0,56,Human
61,0,0,68,Human
62,0,0,59,Human
63,0,0,57,Human
64,0,0,42,Human
65,0,0,29,Human
66,0,0,65,Human
67,0,0,60,Human
68,0,0,19,Human
69,0,0,38,Human
70,0,0,66,Human
71,0,0,67,Human
72,0,0,39,Human
73,0,0,87,Human
74,0,0,73,Human
75,0,0,65,Human
76,0,0,47,Human
77,0,0,26,Human
78,0,0,63,Human
79,0,0,79,Human
80,0,0,65,Human
81,0,0,32,Human
82,0,0,68,Human
83,0,0,38,Human
84,0,0,13,Human
85,0,0,55,Human
86,0,0,4,Human
87,0,0,51,Human
88,0,0,66,Human
89,0,0,67,Human
90,0,0,95,Human
91,0,0,61,Human
92,0,0,33,Human
93,0,0,60,Human
94,0,0,61,Human
95,0,0,40,Human
96,0,0,20,Human
97,0,0,43,Human
98,0,0,38,Human
99,0,0,43,Human
100,0,0,46,Human
101,0,0,62,Human
102,0,0,59,Human
103,0,0,73,Human
104,0,0,41,Human
105,0,0,65,Human
106,0,0,20,Human
107,0,0,50,Human
108,0,0,23,Human
109,0,0,35,Human
110,0,0,67,Human
111,0,0,34,Human
112,0,0,73,Human
113,0,0,78,Human
114,0,0,58,Human
115,0,0,45,Human
116,0,0,33,Human
117,0,0,36,Human
118,0,0,48,Human
119,0,0,33,Human
120,0,0,48,Human
121,0,0,37,Human
122,0,0,60,Human
123,0,0,19,Human
124,0,0,58,Human
125,0,0,65,Human
126,0,0,33,Human
127,0,0,74,Human
128,0,0,75,Human
129,0,0,61,Human
130,0,0,25,Human
131,0,0,54,Human
