travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward,observation,cost_table
21.866666666666667,146,AV,0,9,0,3,7,0,0,37,1653.1781197118603,0.1,-2.186666666666667,"0.33285087719298245,0.3060392156862745,0.381037037037037,0.1,0.37,0.08168187152419273,16.0","0,0,0"
33.266666666666666,7,AV,2,0,1,2,6,0,0,52,827.3783452591958,0.2,-6.653333333333333,"0.17974305555555556,0.2298865740740741,0.2853589743589744,0.2,0.52,0.040879933561629736,6.0","0,0,0"
29.783333333333335,111,AV,2,1,1,5,6,0,0,33,4925.450001742355,1.0,-29.783333333333335,"0.2761851851851852,0.2938103448275862,0.3361410256410256,1.0,0.33,0.24336154068581314,11.0","0,0,0"
42.46666666666667,198,AV,2,1,0,1,5,0,0,83,2964.6777926145683,0.3,-12.74,"0.32926543209876546,0.3042039215686274,0.3534345238095238,0.3,0.83,0.14648175394988758,5.0","0,0,0"
30.3,288,AV,1,2,9,0,1,0,0,40,2218.0502812558643,0.4,-12.120000000000001,"0.3138095238095238,0.2797288888888888,0.3622764227642276,0.4,0.4,0.10959163803796217,10.0","0,0,0"
33.45,61,AV,1,1,4,2,7,0,0,59,3580.4564780460023,0.3,-10.035,"0.2823133333333334,0.28232539682539687,0.37913492063492066,0.3,0.59,0.17690676071171996,11.0","0,0,0"
30.183333333333334,108,AV,0,7,1,2,0,0,0,72,3368.9508766880413,1.0,-30.183333333333334,"0.31665333333333334,0.3093095238095238,0.36781981981981987,1.0,0.72,0.16645648124650464,7.0","0,0,0"
41.61666666666667,47,AV,1,3,5,1,11,0,0,91,586.8516376274475,0.7,-29.131666666666664,"0.35830864197530865,0.28426666666666667,0.35388383838383847,0.7,0.91,0.028995750365243225,16.0","0,0,0"
40.85,231,AV,1,1,5,8,16,0,0,89,2015.5588757501516,0.2,-8.17,"0.28352298850574714,0.27579004329004325,0.32150490196078435,0.2,0.89,0.09958674094184428,21.0","0,0,0"
22.65,213,AV,1,0,5,9,6,0,0,22,2022.4315636845977,0.2,-4.53,"0.3148456790123457,0.2896138888888889,0.3650714285714286,0.2,0.22,0.09992631355425287,11.0","0,0,0"
6.483333333333333,255,AV,0,6,4,1,5,0,0,1,3608.770587345788,1.0,-6.483333333333333,"0.38002777777777774,0.33573160173160166,0.3854541666666666,1.0,0.01,0.17830573243205106,11.0","0,0,0"
11.85,267,AV,0,7,8,7,5,0,0,9,2392.7441380289174,0.7,-8.295,"0.2601436781609195,0.2665046296296297,0.299375,0.7,0.09,0.1182230861528751,12.0","0,0,0"
40.416666666666664,221,AV,0,7,6,8,16,0,0,94,2530.9644311939346,0.4,-16.166666666666668,"0.25012179487179487,0.2848497652582159,0.3584623655913978,0.4,0.94,0.12505241210010515,23.0","0,0,0"
21.333333333333332,112,AV,1,0,5,7,3,0,0,21,11185.875164713363,0.2,-4.266666666666667,"0.3833827160493826,0.3056522633744856,0.35678124999999994,0.2,0.21,0.5526828641120808,8.0","0,0,0"
32.28333333333333,72,AV,1,0,7,7,10,0,0,59,2756.9260540590044,0.2,-6.456666666666667,"0.2559537037037037,0.28556060606060607,0.3375637254901961,0.2,0.59,0.1362169490778143,17.0","0,0,0"
46.61666666666667,45,AV,2,1,3,1,5,0,0,87,3520.054626539052,0.1,-4.661666666666667,"0.20562643678160916,0.26938636363636365,0.33190000000000003,0.1,0.87,0.17392236585687273,5.0","0,0,0"
43.55,280,AV,1,1,4,5,3,0,0,100,2850.5966631146844,0.1,-4.3549999999999995,"0.3590530303030303,0.3148502109704641,0.3650384615384615,0.1,1.0,0.14084511984976505,7.0","0,0,0"
22.716666666666665,74,AV,1,3,9,5,6,0,0,16,1963.0347272178835,0.4,-9.086666666666666,"0.3417068965517241,0.3048225108225109,0.34258823529411764,0.4,0.16,0.09699157548376398,15.0","0,0,0"
30.5,212,AV,2,3,1,2,9,0,0,36,614.9217871931492,0.2,-6.1000000000000005,"0.20050980392156859,0.2608392857142857,0.32805128205128203,0.2,0.36,0.030382668279986823,9.0","0,0,0"
39.983333333333334,263,AV,2,0,3,0,5,0,0,79,1323.5149786113286,0.2,-7.996666666666667,"0.29388095238095235,0.3394121621621622,0.3883908045977011,0.2,0.79,0.06539354662044386,5.0","0,0,0"
20.633333333333333,283,AV,2,1,0,7,5,0,0,6,767.6170681366935,0.1,-2.0633333333333335,"0.3256111111111111,0.2713852813852814,0.3313484848484848,0.1,0.06,0.03792718884414417,12.0","0,0,0"
29.5,279,AV,1,0,5,0,7,0,0,51,3252.767976975094,0.1,-2.95,"0.21228333333333335,0.23983130081300813,0.2886720430107527,0.1,0.51,0.1607160007897979,12.0","0,0,0"
21.8,294,AV,1,3,6,5,4,0,0,24,3257.3450634265246,0.1,-2.18,"0.19168055555555558,0.2601713615023474,0.29683809523809523,0.1,0.24,0.1609421500371313,10.0","0,0,0"
14.716666666666667,30,AV,1,3,6,5,12,0,0,4,3487.44186130441,0.2,-2.9433333333333334,"0.2857608695652174,0.28570833333333334,0.35377333333333333,0.2,0.04,0.17231100186155868,18.0","0,0,0"
35.016666666666666,249,AV,1,1,6,9,18,0,0,59,1475.2077210572677,0.8,-28.013333333333335,"0.3184202898550725,0.30343621399176957,0.3692824074074075,0.8,0.59,0.07288853276372843,24.0","0,0,0"
19.433333333333334,137,AV,1,1,4,3,7,0,0,4,3151.1733449572957,0.6,-11.66,"0.2064423076923077,0.2797762557077626,0.3058448275862069,0.6,0.04,0.1556963119969945,11.0","0,0,0"
32.916666666666664,51,AV,2,1,1,5,1,0,0,47,3024.224513765153,0.2,-6.583333333333333,"0.31829333333333343,0.2908948412698413,0.3305,0.2,0.47,0.14942389767216036,6.0","0,0,0"
36.7,210,AV,1,3,5,1,2,0,0,72,857.6590975250949,0.3,-11.01,"0.2381111111111111,0.28606807511737087,0.32055952380952385,0.3,0.72,0.04237607513690668,7.0","0,0,0"
39.1,177,AV,2,0,3,5,3,0,0,75,1148.9174546898266,0.3,-11.73,"0.2430797101449275,0.28265116279069763,0.33265476190476184,0.3,0.75,0.05676685821503235,8.0","0,0,0"
30.45,37,AV,1,2,4,3,13,0,0,36,2187.907521251699,0.2,-6.09,"0.21351754385964913,0.2760745098039216,0.3316666666666668,0.2,0.36,0.10810231452182832,17.0","0,0,0"
28.65,46,AV,1,1,4,2,1,0,0,32,1239.4416864014672,0.1,-2.865,"0.2821666666666667,0.2906164658634538,0.33931818181818174,0.1,0.32,0.0612395696405775,5.0","0,0,0"
44.7,207,AV,2,0,2,6,0,0,0,89,4999.976398121604,0.1,-4.470000000000001,"0.3252101449275362,0.27998222222222224,0.3374041666666666,0.1,0.89,0.24704381512534654,6.0","0,0,0"
39.96666666666667,76,AV,1,3,8,8,2,0,0,92,898.3728471886773,0.4,-15.986666666666668,"0.27140151515151517,0.27742063492063496,0.34337654320987654,0.4,0.92,0.044387700641524724,10.0","0,0,0"
39.21666666666667,125,AV,1,0,5,6,3,0,0,88,506.5869000089976,0.1,-3.921666666666667,"0.23086419753086418,0.2544264705882353,0.34056666666666663,0.1,0.88,0.025029950244917432,8.0","0,0,0"
13.633333333333333,21,AV,1,2,6,3,3,0,0,0,835.7777612710734,0.2,-2.7266666666666666,"0.3512873563218391,0.3238675799086758,0.38333333333333336,0.2,0.0,0.04129494027589717,9.0","0,0,0"
28.7,22,AV,1,1,8,0,0,0,0,48,4504.939201911708,0.8,-22.96,"0.24719871794871792,0.29206081081081076,0.34950833333333337,0.8,0.48,0.2225845241521748,8.0","0,0,0"
27.533333333333335,144,AV,2,0,2,1,5,0,0,20,2446.4664131825853,0.1,-2.753333333333334,"0.19746153846153847,0.2843762626262626,0.31392105263157893,0.1,0.2,0.12087744984470407,5.0","0,0,0"
30.683333333333334,79,AV,2,1,3,1,15,0,0,39,4164.701887555128,1.0,-30.683333333333334,"0.22847101449275364,0.2886731601731602,0.36947500000000005,1.0,0.39,0.20577373996162773,15.0","0,0,0"
21.633333333333333,16,AV,1,2,4,8,6,0,0,23,2294.767722006211,0.8,-17.30666666666667,"0.30939743589743596,0.29747260273972603,0.3126260162601626,0.8,0.23,0.11338216978061968,10.0","0,0,0"
24.683333333333334,66,AV,2,3,2,2,9,0,0,8,1546.5147326922538,0.1,-2.4683333333333337,"0.2812098765432099,0.29933966244725746,0.3608235294117646,0.1,0.08,0.07641174063449208,9.0","0,0,0"
36.5,81,AV,2,2,3,3,20,0,0,66,617.4453946714843,0.6,-21.9,"0.3201842105263159,0.2888991769547325,0.3400333333333333,0.6,0.66,0.03050735719243069,20.0","0,0,0"
29.083333333333332,156,AV,1,2,5,4,5,0,0,51,1391.0507319816634,0.2,-5.816666666666666,"0.31111594202898546,0.2831240310077519,0.33734482758620693,0.2,0.51,0.06873042040573611,10.0","0,0,0"
37.166666666666664,282,AV,2,0,2,6,2,0,0,47,1490.1599361877834,0.2,-7.433333333333334,"0.22421999999999997,0.2617477477477477,0.3329390243902439,0.2,0.47,0.0736273067051025,8.0","0,0,0"
31.4,254,AV,1,3,6,7,8,0,0,49,905.8209551718018,0.2,-6.28,"0.2789509803921568,0.28760784313725485,0.36559444444444444,0.2,0.49,0.044755704180963,14.0","0,0,0"
17.983333333333334,154,AV,1,3,7,3,9,0,0,9,832.4581618945489,0.3,-5.3950000000000005,"0.34468589743589745,0.30577294685990336,0.3744952380952381,0.3,0.09,0.041130922202737376,16.0","0,0,0"
30.616666666666667,53,AV,2,1,1,5,2,0,0,47,2761.3662775036096,0.7,-21.431666666666665,"0.23431250000000003,0.27316666666666667,0.31336363636363634,0.7,0.47,0.13643633606135613,7.0","0,0,0"
19.566666666666666,234,AV,1,2,5,0,5,0,0,14,1526.0895405694364,0.1,-1.9566666666666668,"0.21406172839506168,0.2861232876712329,0.33047368421052636,0.1,0.14,0.07540255239340664,10.0","0,0,0"
40.416666666666664,262,AV,1,1,7,7,4,0,0,84,4549.115907877681,0.3,-12.124999999999998,"0.23685185185185184,0.262690170940171,0.33328431372549017,0.3,0.84,0.22476725085176577,11.0","0,0,0"
36.61666666666667,233,AV,1,2,4,3,7,0,0,70,2271.53748778668,0.3,-10.985,"0.27761904761904765,0.26566085271317824,0.3132884615384615,0.3,0.7,0.11223438722508516,11.0","0,0,0"
34.38333333333333,298,AV,1,1,8,8,2,0,0,60,5702.616109653807,0.9,-30.945,"0.3089772727272727,0.30751016260162606,0.34608796296296296,0.9,0.6,0.28176053800041856,10.0","0,0,0"
26.783333333333335,142,AV,1,1,4,3,3,0,0,33,572.7967315704935,0.2,-5.356666666666667,"0.31722043010752693,0.3095569620253164,0.3540888888888889,0.2,0.33,0.02830131156452355,7.0","0,0,0"
35.516666666666666,236,AV,1,2,5,0,0,0,0,65,1597.8734280578535,0.3,-10.655,"0.20285802469135802,0.24380555555555555,0.29881428571428575,0.3,0.65,0.07894932222142612,5.0","0,0,0"
