travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
245.83333333333334,109,AV,0,6,1,0,2,0,0,78,2496.2043409386315,0.2,0.0
198.73333333333332,84,AV,0,8,6,4,3,0,0,61,857.6590975250949,0.4,0.0
27.933333333333334,174,AV,1,0,5,3,4,0,0,57,2105.159940183184,0.3,-0.3
54.31666666666667,6,AV,0,9,2,3,3,0,0,36,4864.205776554158,0.1,0.0
56.05,121,AV,0,5,3,4,1,0,0,36,2401.1770329784995,0.1,0.0
189.63333333333333,235,AV,0,5,7,0,4,0,0,59,4950.268578812107,0.9,0.0
27.8,131,AV,0,8,5,7,4,0,0,30,3031.4508351358254,0.1,0.0
103.61666666666666,187,AV,0,5,3,0,1,0,0,45,5051.78348307234,0.7,0.0
142.16666666666666,278,AV,0,9,2,8,13,0,0,50,1240.6560786390864,0.4,0.0
173.83333333333334,199,AV,0,6,4,8,2,0,0,56,2133.445027811215,0.5,0.0
217.96666666666667,99,AV,0,8,7,8,3,0,0,66,4818.617258984985,0.4,0.0
77.21666666666667,149,AV,0,4,6,2,4,0,0,40,4717.175795221327,1.0,0.0
207.58333333333334,94,AV,0,7,8,6,1,0,0,64,946.1123250925148,0.1,0.0
71.83333333333333,198,AV,0,5,3,3,1,0,0,39,4021.28082322038,0.2,0.0
103.51666666666667,258,AV,0,4,8,0,10,0,0,45,676.2529471816457,1.0,0.0
116.06666666666666,74,AV,0,8,9,8,3,0,0,47,632.5893922142865,0.1,0.0
85.95,178,AV,0,8,2,0,3,0,0,41,1830.3424648913517,0.1,0.0
62.93333333333333,202,AV,0,5,2,5,3,0,0,38,753.7709081553346,0.2,0.0
182.71666666666667,76,AV,0,9,8,3,17,0,0,58,7081.334819999852,0.3,0.0
27.833333333333332,157,AV,0,8,9,8,2,0,0,29,2747.619709803412,0.4,0.0
219.76666666666668,41,AV,0,4,8,2,4,0,0,66,5304.212874057136,0.4,0.0
182.66666666666666,30,AV,0,8,5,4,12,0,0,58,2352.9451803313505,0.2,0.0
8.683333333333334,136,AV,0,5,0,8,3,0,0,15,2520.757475212996,0.2,0.0
126.6,169,AV,0,9,5,9,1,0,0,48,3032.1279287666234,0.8,0.0
