travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
25.366666666666667,242,AV,1,1,5,5,6,0,0,44,1348.5865378412918,0.1,-2.536666666666667
44.666666666666664,205,AV,2,2,0,6,7,0,0,70,5807.233742044462,0.6,-26.799999999999997
28.516666666666666,137,AV,2,1,0,1,18,0,0,30,5480.041794665195,0.2,-5.703333333333333
24.233333333333334,43,AV,2,2,1,9,0,0,0,12,1275.6237969650936,0.8,-19.38666666666667
19.966666666666665,244,AV,1,3,8,6,4,0,0,24,2043.1688306873104,0.9,-17.97
38.833333333333336,102,AV,1,0,5,0,5,0,0,86,3608.770587345788,0.4,-15.533333333333335
17.85,123,AV,1,0,4,0,3,0,0,15,3017.17067826153,0.4,-7.140000000000001
19.133333333333333,157,AV,1,2,5,0,1,0,0,25,4559.760277629775,0.7,-13.393333333333333
38.7,171,AV,1,0,4,0,1,0,0,83,5825.994272151124,0.4,-15.480000000000002
25.983333333333334,289,AV,1,2,5,1,2,0,0,45,3882.59008652233,0.3,-7.795
36.03333333333333,131,AV,1,3,6,1,2,0,0,73,497.26542980048754,0.3,-10.809999999999999
33.833333333333336,295,AV,1,1,5,3,3,0,0,68,566.7055292848979,0.4,-13.533333333333335
42.96666666666667,49,AV,2,1,0,1,5,0,0,71,1691.6338586686718,0.2,-8.593333333333334
29.3,231,AV,1,2,7,6,17,0,0,53,783.6834518391023,0.4,-11.72
16.316666666666666,101,AV,1,0,4,4,7,0,0,17,2360.1328348572283,0.5,-8.158333333333333
17.533333333333335,193,AV,1,3,6,5,6,0,0,24,6020.57275324985,0.7,-12.273333333333333
31.866666666666667,215,AV,2,3,2,0,6,0,0,19,10426.353459350525,0.1,-3.186666666666667
41.9,66,AV,2,0,0,8,7,0,0,65,2946.490055333797,0.2,-8.38
38.53333333333333,48,AV,1,3,4,5,10,0,0,85,3301.717979419838,0.2,-7.706666666666667
40.0,59,AV,1,0,6,6,17,0,0,90,7177.938863287724,0.4,-16.0
17.9,127,AV,1,0,8,1,0,0,0,18,8134.997760071039,0.4,-7.16
42.8,67,AV,2,2,0,5,9,0,0,76,1148.9174546898266,0.2,-8.56
12.083333333333334,217,AV,0,4,2,5,6,0,0,18,6778.2755320215965,0.1,-1.2083333333333335
38.78333333333333,146,AV,2,1,3,1,20,0,0,84,1122.7546975855585,0.4,-15.513333333333334
28.633333333333333,128,AV,1,3,9,2,4,0,0,50,9030.678864893336,0.4,-11.453333333333333
31.283333333333335,134,AV,1,3,4,4,2,0,0,60,3257.969850357721,0.2,-6.256666666666668
21.733333333333334,82,AV,1,3,4,4,1,0,0,33,14505.369879802229,0.3,-6.5200000000000005
23.283333333333335,1,AV,1,3,7,7,3,0,0,37,2538.843693606908,0.4,-9.313333333333334
