id,origin,destination,start_time,income,kind
0,0,0,28,437.5592869272848,Human
1,0,0,56,477.1303205766694,Human
2,0,0,63,497.26542980048754,Human
3,0,0,42,508.6019702527906,Human
4,0,0,83,522.2875039790788,Human
5,0,0,64,567.9518330451218,Human
6,0,0,40,572.7967315704935,Human
7,0,0,26,583.3206434887895,Human
8,0,0,71,610.4868582393152,Human
9,0,0,25,616.3739675020589,Human
10,0,0,78,617.4453946714843,Human
11,0,0,68,623.7253316558669,Human
12,0,0,55,646.5589615252754,Human
13,0,0,67,670.158540600369,Human
14,0,0,31,741.34301771214,Human
15,0,0,61,742.4887258523852,Human
16,0,0,66,743.7553910389753,Human
17,0,0,48,743.7818724069466,Human
18,0,0,28,753.5670156580491,Human
19,0,0,45,776.0711537761008,Human
20,0,0,30,777.0630287344238,Human
21,0,0,29,779.2240782816187,Human
22,0,0,57,783.6834518391023,Human
23,0,0,79,793.0252767736928,Human
24,0,0,44,802.5586880039084,Human
25,0,0,66,806.3598325453933,Human
26,0,0,28,816.2772675203604,Human
27,0,0,50,818.0604611907775,Human
28,0,0,38,822.5771428470101,Human
29,0,0,40,837.3801312568858,Human
30,0,0,69,845.7864251007381,Human
31,0,0,36,857.6590975250949,Human
32,0,0,18,861.805442805673,Human
33,0,0,68,871.0408974081768,Human
34,0,0,77,873.8892656114449,Human
35,0,0,66,881.2906222289953,Human
36,0,0,24,902.2448599555772,Human
37,0,0,55,904.859336063587,Human
38,0,0,28,912.6272274022258,Human
39,0,0,55,913.5589076746268,Human
40,0,0,77,926.7012599248138,Human
41,0,0,57,933.6906207466446,Human
42,0,0,29,950.4213588862824,Human
43,0,0,30,954.0002559944874,Human
44,0,0,27,959.5289757906356,Human
45,0,0,63,968.7072844723906,Human
46,0,0,77,978.4447105201264,Human
47,0,0,47,981.8973671489576,Human
48,0,0,55,1014.5614647146556,Human
49,0,0,45,1017.530975349866,Human
50,0,0,60,1020.5842314575186,Human
51,0,0,38,1025.7249596144625,Human
52,0,0,53,1040.734547163155,Human
53,0,0,55,1046.6558973464134,Human
54,0,0,58,1047.1205397958274,Human
55,0,0,20,1059.8377785859489,Human
56,0,0,49,1062.4074567339185,Human
57,0,0,41,1083.524948441525,Human
58,0,0,70,1097.8259349569896,Human
59,0,0,48,1100.389953660579,Human
60,0,0,65,1122.7546975855585,Human
61,0,0,61,1141.0395517097602,Human
62,0,0,31,1141.5133047894662,Human
63,0,0,58,1167.011530479414,Human
64,0,0,55,1234.5997004771,Human
65,0,0,62,1249.5878531833848,Human
66,0,0,28,1265.4739572733297,Human
67,0,0,55,1275.9312017726234,Human
68,0,0,25,1279.3396024785957,Human
69,0,0,61,1323.5149786113286,Human
70,0,0,45,1365.417472605012,Human
71,0,0,84,1386.7650627050614,Human
72,0,0,55,1391.0507319816634,Human
73,0,0,53,1404.912317929139,Human
74,0,0,56,1411.5824788559885,Human
75,0,0,64,1421.705549214182,Human
76,0,0,48,1446.9812594843625,Human
77,0,0,53,1454.957177165027,Human
78,0,0,69,1467.6871321740252,Human
79,0,0,48,1509.578116022191,Human
80,0,0,40,1519.7273932229994,Human
81,0,0,34,1526.0895405694364,Human
82,0,0,50,1527.6889462703334,Human
83,0,0,62,1528.3774584247917,Human
84,0,0,12,1530.6528609905624,Human
85,0,0,71,1546.5147326922538,Human
86,0,0,80,1552.9853059451273,Human
87,0,0,62,1564.4426034616197,Human
88,0,0,58,1579.1767070066765,Human
89,0,0,73,1592.2311391495805,Human
90,0,0,45,1594.6992934726818,Human
91,0,0,59,1597.8734280578535,Human
92,0,0,42,1626.914224999384,Human
93,0,0,54,1653.1781197118603,Human
94,0,0,46,1659.6531244520008,Human
95,0,0,50,1664.0464513081895,Human
96,0,0,36,1691.6338586686718,Human
97,0,0,49,1697.366940102563,Human
98,0,0,51,1718.6657268339234,Human
99,0,0,71,1751.9448432672848,Human
100,0,0,51,1778.835052690156,Human
101,0,0,41,1783.933402668827,Human
102,0,0,27,1797.659883656486,Human
103,0,0,73,1822.2981036688468,Human
104,0,0,68,1823.811293294481,Human
105,0,0,48,1824.367004680513,Human
106,0,0,59,1862.7228332236152,Human
107,0,0,69,1885.557658153182,Human
108,0,0,44,1929.5758599688188,Human
109,0,0,49,1942.5668635563816,Human
110,0,0,48,1950.0200213032829,Human
111,0,0,62,1996.532829496936,Human
112,0,0,59,1997.7276787447236,Human
113,0,0,38,2034.664800296876,Human
114,0,0,67,2043.1688306873104,Human
115,0,0,62,2052.607856914241,Human
116,0,0,40,2088.64210540395,Human
117,0,0,42,2105.159940183184,Human
118,0,0,25,2117.047321722312,Human
119,0,0,64,2123.4400354784907,Human
120,0,0,77,2133.445027811215,Human
121,0,0,55,2137.1188228190404,Human
122,0,0,45,2141.869626207308,Human
123,0,0,33,2142.030696222753,Human
124,0,0,35,2187.718469250836,Human
125,0,0,34,2193.4249838744518,Human
126,0,0,87,2198.5025098873134,Human
127,0,0,37,2218.0502812558643,Human
128,0,0,23,2222.040577514192,Human
129,0,0,66,2225.3307045190536,Human
130,0,0,48,2283.7291705859197,Human
131,0,0,78,2293.603195459698,Human
132,0,0,35,2302.618320259251,Human
133,0,0,30,2329.0008356791827,Human
134,0,0,43,2335.4036410281064,Human
135,0,0,71,2344.9936519099742,Human
136,0,0,46,2352.9451803313505,Human
137,0,0,60,2382.718205806423,Human
138,0,0,34,2398.572127464108,Human
139,0,0,69,2401.1770329784995,Human
140,0,0,57,2417.357356239525,Human
141,0,0,49,2421.0391237858234,Human
142,0,0,35,2436.431929205765,Human
143,0,0,36,2456.6540037696086,Human
144,0,0,67,2472.005569054355,Human
145,0,0,32,2476.7673195544394,Human
146,0,0,54,2497.1975937909187,Human
147,0,0,63,2520.757475212996,Human
148,0,0,59,2553.8725848963804,Human
149,0,0,48,2561.5826276178027,Human
150,0,0,33,2574.4307659940623,Human
151,0,0,72,2580.565825479665,Human
152,0,0,57,2612.3907844155665,Human
153,0,0,22,2619.168197182975,Human
154,0,0,58,2622.7149314101284,Human
155,0,0,41,2629.980017260476,Human
156,0,0,36,2645.062412614309,Human
157,0,0,55,2667.9339807116767,Human
158,0,0,54,2675.3892374750885,Human
159,0,0,75,2747.619709803412,Human
160,0,0,49,2756.9260540590044,Human
161,0,0,79,2761.3662775036096,Human
162,0,0,49,2780.081336731352,Human
163,0,0,81,2793.3389947689566,Human
164,0,0,55,2835.850686157305,Human
165,0,0,67,2857.8751728516777,Human
166,0,0,44,2872.269398564857,Human
167,0,0,65,2898.378436294527,Human
168,0,0,45,2909.8477340427667,Human
169,0,0,46,2927.9701715656583,Human
170,0,0,43,2942.323800284961,Human
171,0,0,53,2964.6777926145683,Human
172,0,0,3,2971.291490045772,Human
173,0,0,26,2987.078671303881,Human
174,0,0,45,2991.769966736588,Human
175,0,0,39,3017.17067826153,Human
176,0,0,56,3024.224513765153,Human
177,0,0,42,3046.5766145774583,Human
178,0,0,54,3065.2253709468137,Human
179,0,0,43,3097.4575811220984,Human
180,0,0,71,3101.095365071405,Human
181,0,0,47,3132.463358685509,Human
182,0,0,36,3158.0604616132755,Human
183,0,0,48,3159.4556453821087,Human
184,0,0,38,3169.820795106812,Human
185,0,0,40,3227.056348793521,Human
186,0,0,53,3236.647802754315,Human
187,0,0,62,3252.767976975094,Human
188,0,0,42,3257.969850357721,Human
189,0,0,45,3292.2479258152307,Human
190,0,0,61,3301.717979419838,Human
191,0,0,57,3323.1633986738134,Human
192,0,0,50,3352.9358316496982,Human
193,0,0,81,3361.758609282253,Human
194,0,0,63,3362.377553451843,Human
195,0,0,52,3387.2787239910285,Human
196,0,0,57,3414.9419898187493,Human
197,0,0,26,3427.0421228311798,Human
198,0,0,39,3476.696831582168,Human
199,0,0,68,3480.90175047103,Human
200,0,0,44,3487.44186130441,Human
201,0,0,42,3508.846318545673,Human
202,0,0,83,3520.054626539052,Human
203,0,0,53,3580.4564780460023,Human
204,0,0,32,3623.60917519969,Human
205,0,0,24,3630.005597296026,Human
206,0,0,55,3651.018124108644,Human
207,0,0,50,3667.3634505223554,Human
208,0,0,39,3742.7752140142647,Human
209,0,0,71,3773.073658575576,Human
210,0,0,39,3778.090807703549,Human
211,0,0,63,3783.636689084741,Human
212,0,0,44,3793.837230001502,Human
213,0,0,62,3822.7735841463273,Human
214,0,0,46,3849.958431883558,Human
215,0,0,56,3882.59008652233,Human
216,0,0,30,3898.759045987068,Human
217,0,0,60,3941.04555698938,Human
218,0,0,50,3942.222625638348,Human
219,0,0,42,3971.0791127863904,Human
220,0,0,44,4021.28082322038,Human
221,0,0,29,4034.238052294327,Human
222,0,0,26,4196.147454418583,Human
223,0,0,45,4237.057085974603,Human
224,0,0,37,4281.8327360815,Human
225,0,0,60,4412.688598555705,Human
226,0,0,50,4416.224882412617,Human
227,0,0,15,4434.023444374438,Human
228,0,0,61,4446.537177105173,Human
229,0,0,59,4504.939201911708,Human
230,0,0,38,4505.18942297478,Human
231,0,0,34,4549.115907877681,Human
232,0,0,49,4559.760277629775,Human
233,0,0,40,4577.590037133467,Human
234,0,0,70,4617.1597275219765,Human
235,0,0,62,4630.913868273173,Human
236,0,0,57,4656.548587392589,Human
237,0,0,63,4662.282088415262,Human
238,0,0,89,4707.821121085941,Human
239,0,0,26,4717.175795221327,Human
240,0,0,57,4735.166802079286,Human
241,0,0,74,4756.448820673547,Human
242,0,0,58,4818.617258984985,Human
243,0,0,27,4924.983441788647,Human
244,0,0,43,4934.883137056144,Human
245,0,0,59,4950.077303955518,Human
246,0,0,16,4967.653125719208,Human
247,0,0,68,4999.976398121604,Human
248,0,0,22,5004.1281918097375,Human
249,0,0,66,5009.92015912814,Human
250,0,0,59,5051.78348307234,Human
251,0,0,23,5064.807770076448,Human
252,0,0,53,5168.6614957092925,Human
253,0,0,53,5200.876525735832,Human
254,0,0,42,5304.212874057136,Human
255,0,0,58,5354.15698790508,Human
256,0,0,35,5386.149373461946,Human
257,0,0,60,5427.330032863625,Human
258,0,0,57,5480.041794665195,Human
259,0,0,48,5502.789496653042,Human
260,0,0,27,5611.673516276995,Human
