travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
101.25,217,AV,0,6,4,0,6,0,0,78,4705.31956239884,0.5,-50.625
13.766666666666667,183,AV,0,6,0,4,10,0,0,28,9884.322174397852,0.1,-1.376666666666667
24.333333333333332,225,AV,1,0,5,2,1,0,0,53,3245.380745418587,0.3,-7.299999999999999
62.78333333333333,107,AV,0,7,4,1,1,0,0,51,6563.608435155774,0.3,-18.834999999999997
15.4,283,AV,0,4,6,5,12,0,0,28,948.3478854920526,0.3,-4.62
22.533333333333335,73,AV,1,2,5,2,2,0,0,50,3257.969850357721,0.1,-2.2533333333333334
32.833333333333336,221,AV,0,9,9,9,5,0,0,40,4113.319853961603,0.2,-6.566666666666667
22.5,299,AV,0,6,4,2,5,0,0,36,1062.4074567339185,0.1,-2.25
87.15,211,AV,0,5,5,2,1,0,0,68,807.7368269013535,0.1,-8.715000000000002
12.083333333333334,194,AV,0,8,1,7,3,0,0,27,4569.840806868062,0.1,-1.2083333333333335
20.5,99,AV,0,9,4,4,2,0,0,32,4227.85786318916,0.2,-4.1000000000000005
11.916666666666666,125,AV,1,2,5,2,9,0,0,33,1467.6871321740252,0.3,-3.5749999999999997
19.333333333333332,156,AV,1,2,5,2,3,0,0,47,2574.4307659940623,0.1,-1.9333333333333333
33.78333333333333,8,AV,1,0,5,2,4,0,0,76,1234.5997004771,0.4,-13.513333333333334
15.283333333333333,79,AV,0,4,6,2,9,0,0,30,753.7709081553346,0.1,-1.5283333333333333
102.8,278,AV,0,4,1,4,10,0,0,79,1723.69240549938,0.6,-61.67999999999999
13.7,290,AV,1,0,5,5,8,0,0,39,2909.8477340427667,0.1,-1.37
16.816666666666666,188,AV,2,3,2,3,10,0,0,35,1822.2981036688468,0.2,-3.3633333333333333
24.183333333333334,102,AV,0,5,0,0,8,0,0,36,1564.4426034616197,0.4,-9.673333333333334
21.6,248,AV,1,2,9,2,3,0,0,49,4635.813442599864,0.1,-2.16
97.85,223,AV,0,6,2,4,3,0,0,76,2022.4315636845977,0.2,-19.57
38.11666666666667,263,AV,0,6,1,9,6,0,0,42,3292.2479258152307,0.2,-7.623333333333334
56.016666666666666,103,AV,0,6,3,5,8,0,0,49,1888.2149669861096,0.3,-16.805
27.766666666666666,19,AV,1,0,5,2,6,0,0,56,1697.366940102563,0.4,-11.106666666666667
8.483333333333333,277,AV,0,9,2,3,2,0,0,21,1074.3823512953045,0.6,-5.089999999999999
12.483333333333333,10,AV,1,2,5,2,4,0,0,34,5960.007005011629,0.2,-2.4966666666666666
88.86666666666666,288,AV,0,6,2,6,8,0,0,69,5899.132481879994,0.3,-26.659999999999997
76.85,184,AV,0,5,1,8,11,0,0,60,3531.3895067900216,0.1,-7.685
27.733333333333334,158,AV,0,4,2,0,3,0,0,39,857.6590975250949,0.6,-16.64
30.016666666666666,247,AV,1,2,6,2,1,0,0,62,13460.811009378149,0.2,-6.003333333333334
10.233333333333333,66,AV,1,1,4,6,3,0,0,28,7592.14370769901,0.2,-2.0466666666666664
24.15,224,AV,1,2,5,2,5,0,0,51,1541.4014724042315,0.2,-4.83
99.48333333333333,97,AV,0,5,6,1,1,0,0,76,5862.871835726062,0.7,-69.63833333333334
20.8,293,AV,1,0,5,2,8,0,0,47,14297.77376075636,0.6,-12.48
17.55,13,AV,1,2,4,9,10,0,0,45,8139.327108000771,0.1,-1.7550000000000001
31.1,5,AV,1,2,5,8,5,0,0,65,3032.1279287666234,0.1,-3.1100000000000003
13.666666666666666,68,AV,2,2,0,6,8,0,0,28,8639.921150992108,0.1,-1.3666666666666667
26.45,177,AV,2,1,3,9,1,0,0,52,1244.4027248274256,0.1,-2.645
32.45,168,AV,1,0,8,6,0,0,0,74,457.16351791608827,0.2,-6.490000000000001
