travel_time,id,kind,action,origin,destination,start_time,income,reward,cost_table
23.316666666666666,47,AV,1,0,0,53,146.5418908748877,-0.35592379398258317,"0,0,0"
13.183333333333334,151,AV,2,0,0,32,583.7823068318808,-0.8016871609444752,"0,0,0"
20.533333333333335,114,AV,0,0,0,51,395.41168599267854,-10.845741661706562,"0,0,0"
30.716666666666665,210,AV,2,0,0,65,1242.0870586589915,-3.9742473074800717,"0,0,0"
33.13333333333333,126,AV,2,0,0,74,459.5666621971018,-1.5861432716108304,"0,0,0"
12.033333333333333,160,AV,2,0,0,33,652.2976657536553,-0.8176370046426026,"0,0,0"
32.61666666666667,193,AV,2,0,0,74,1018.822300794707,-3.4615195184986836,"0,0,0"
10.216666666666667,249,AV,1,0,0,30,2108.112350525404,-2.2435292897084596,"0,0,0"
22.05,291,AV,0,0,0,52,6047.562581916305,-23.890495305339016,"0,0,0"
23.566666666666666,279,AV,1,0,0,54,4142.092896692985,-10.168262770701183,"0,0,0"
22.483333333333334,181,AV,0,0,0,53,841.5283253803161,-11.970871025934109,"0,0,0"
24.266666666666666,225,AV,0,0,0,53,1602.6509836919151,-14.051145542110119,"0,0,0"
9.116666666666667,293,AV,2,0,0,7,6548.308069009755,-6.218618947479751,"0,0,0"
10.233333333333333,174,AV,2,0,0,28,785.2592791792863,-0.8370645788473641,"0,0,0"
10.216666666666667,187,AV,1,0,0,29,958.9016402765042,-1.0204977525859324,"0,0,0"
9.533333333333333,243,AV,1,0,0,25,1961.8187008233435,-1.9481949598454036,"0,0,0"
11.05,141,AV,1,0,0,33,525.5583758718675,-0.6049395888941809,"0,0,0"
33.13333333333333,162,AV,1,0,0,85,663.4811418636766,-2.289931441015606,"0,0,0"
10.516666666666667,131,AV,2,0,0,27,490.2004672300651,-0.5370078035107136,"0,0,0"
12.433333333333334,120,AV,2,0,0,32,418.14823866796286,-0.5415600452192714,"0,0,0"
22.883333333333333,62,AV,1,0,0,52,174.5089400609995,-0.41597356719401446,"0,0,0"
19.35,100,AV,2,0,0,43,314.9423294142533,-0.6348056327256043,"0,0,0"
14.933333333333334,172,AV,0,0,0,42,776.9842538847105,-11.208642172709549,"0,0,0"
27.3,63,AV,1,0,0,59,178.27480847600162,-0.5069689866036297,"0,0,0"
7.183333333333334,298,AV,1,0,0,20,8213.476830708638,-6.145848114644832,"0,0,0"
12.116666666666667,97,AV,0,0,0,33,309.1361742137219,-10.390177080995445,"0,0,0"
28.25,103,AV,1,0,0,62,322.451279720292,-0.9488800679269009,"0,0,0"
19.816666666666666,117,AV,1,0,0,50,399.2352950386727,-0.8241159128489268,"0,0,0"
24.4,271,AV,0,0,0,55,3274.3376981831766,-18.32227498288224,"0,0,0"
21.683333333333334,154,AV,2,0,0,49,598.645261160854,-1.3521484110594983,"0,0,0"
16.416666666666668,297,AV,1,0,0,43,7537.310895106899,-12.889325055000514,"0,0,0"
14.15,158,AV,0,0,0,41,624.6226227448327,-10.92066771998327,"0,0,0"
9.2,52,AV,2,0,0,25,150.75814936612252,-0.14447655980920074,"0,0,0"
11.3,106,AV,0,0,0,34,329.1128778114398,-10.387393283257216,"0,0,0"
16.55,170,AV,2,0,0,39,751.2181641591902,-1.295068814253604,"0,0,0"
15.233333333333333,128,AV,2,0,0,39,464.6678677536831,-0.7373375540396985,"0,0,0"
9.383333333333333,211,AV,2,0,0,27,1247.1783492367942,-1.2190302267713804,"0,0,0"
10.466666666666667,95,AV,2,0,0,25,297.660864959905,-0.32453302637989645,"0,0,0"
19.816666666666666,178,AV,0,0,0,48,820.6009539766088,-11.693914122010742,"0,0,0"
16.466666666666665,7,AV,0,0,0,44,45.75346762782524,-10.078479906278284,"0,0,0"
19.55,69,AV,0,0,0,46,198.9364111902541,-10.40512571237182,"0,0,0"
12.883333333333333,163,AV,0,0,0,36,679.8899681104378,-10.91242178012043,"0,0,0"
16.083333333333332,24,AV,2,0,0,42,103.84352821458296,-0.17397396654005653,"0,0,0"
26.75,29,AV,2,0,0,57,113.58015164476134,-0.31648636005180897,"0,0,0"
25.3,179,AV,2,0,0,54,831.0610558222916,-2.1901921575316643,"0,0,0"
19.083333333333332,214,AV,2,0,0,44,1286.053278449689,-2.5564774371959964,"0,0,0"
27.45,283,AV,2,0,0,57,4238.798478728168,-12.120314400113356,"0,0,0"
29.566666666666666,35,AV,0,0,0,68,119.90264734729368,-10.3692835006842,"0,0,0"
21.766666666666666,198,AV,2,0,0,49,1089.3362437890603,-2.469918636091168,"0,0,0"
26.0,264,AV,0,0,0,57,2643.144867813206,-17.158517350327433,"0,0,0"
25.516666666666666,232,AV,2,0,0,55,1747.2223031309911,-4.644092614745742,"0,0,0"
14.966666666666667,146,AV,1,0,0,39,550.6946902367042,-0.8585483191537506,"0,0,0"
24.833333333333332,28,AV,0,0,0,56,111.4275735234741,-10.288241466232598,"0,0,0"
20.15,269,AV,1,0,0,50,3223.7986973572483,-6.7666191408071406,"0,0,0"
29.35,3,AV,0,0,0,65,41.97637947099244,-10.128334035153502,"0,0,0"
15.933333333333334,182,AV,0,0,0,43,851.504708110295,-11.413261286377503,"0,0,0"
16.55,83,AV,1,0,0,43,250.64646962693703,-0.4321040700339383,"0,0,0"
13.45,144,AV,0,0,0,36,545.4154669598349,-10.764149794855186,"0,0,0"
28.583333333333332,148,AV,0,0,0,67,558.1141497724398,-11.661746123020372,"0,0,0"
12.666666666666666,135,AV,2,0,0,33,496.51834765204126,-0.6551283753742211,"0,0,0"
18.033333333333335,102,AV,2,0,0,44,320.06022134041564,-0.6012242352262669,"0,0,0"
15.883333333333333,55,AV,1,0,0,39,158.6453765370725,-0.2624809788885939,"0,0,0"
12.883333333333333,15,AV,2,0,0,35,71.85667082931167,-0.09643265026225332,"0,0,0"
25.516666666666666,77,AV,2,0,0,52,232.4104689217076,-0.6177437984707194,"0,0,0"
31.733333333333334,278,AV,2,0,0,69,4014.416794072557,-13.269877735962064,"0,0,0"
21.45,156,AV,1,0,0,52,613.3437180047252,-1.3704398699168079,"0,0,0"
